source_route_id	source_family_id	source_class	languages	attempted	accessed	http_status	content_type	descriptor_bearing	row_level	semantic_reference_only	zero_yield	blocked	rights_state	continuation_state	new_state	reason	artifact_cursor	restricted_artifact_pointer	artifact_sha256	artifact_byte_count	failure_taxonomy
route.epmc.pmc8774372.brewed-black-coffee	family.pmc8774372_brewed_black_coffee	TRAINED_PANEL_RESEARCH	en	true	true	200	application/xml	true	true	false	false	false	CC_BY_4_0	ACQUISITION_ACTIVE	PROBE_POSITIVE	ACCESSIBLE_DESCRIPTOR_OR_SEMANTIC_REFERENCE_ROUTE	PMC8774372 Table 3 and Table 4	restricted://batch7_acquisition/raw/route.epmc.pmc8774372.brewed-black-coffee/4edf02740de80c8736d0b3bb.xml	d578fd743c9fb844de976648c008bf89c3d9869e2cfd5703eb713c83f44676ba	169590	NONE
route.epmc.pmc13163763.cafe-latte-lexicon	family.pmc13163763_cafe_latte	TRAINED_PANEL_RESEARCH	en|ko-context	true	true	200	application/xml	true	false	true	false	false	CC_BY_4_0	SEMANTIC_MINING_COMPLETE_OR_METADATA_ONLY	PROBE_POSITIVE	ACCESSIBLE_DESCRIPTOR_OR_SEMANTIC_REFERENCE_ROUTE	PMC13163763 Table 2	restricted://batch7_acquisition/raw/route.epmc.pmc13163763.cafe-latte-lexicon/ded23d4c9b810d903c44e34c.xml	c7343836d0bad771d5d43a142d1167038464473e5e974d3ad2a449958170c68b	295109	NONE
route.epmc.pmc6776322.retronasal-aroma	family.pmc6776322_retronasal_aroma	TRAINED_PANEL_RESEARCH	en	true	true	200	application/xml	true	false	true	false	false	CC_BY_4_0	SEMANTIC_MINING_COMPLETE_OR_METADATA_ONLY	PROBE_POSITIVE	ACCESSIBLE_DESCRIPTOR_OR_SEMANTIC_REFERENCE_ROUTE	PMC6776322 Table 2	restricted://batch7_acquisition/raw/route.epmc.pmc6776322.retronasal-aroma/0e0fbf0fca9bd9719552acf2.xml	8d4cb6ce053b964f650090b9e7a8d8222dab49a661622762f92bc2098c15c163	123353	NONE
route.epmc.pmc11675256.storage-temperature-lexicon	family.pmc11675256_storage_temperature	TRAINED_PANEL_RESEARCH	en	true	true	200	application/xml	true	false	true	false	false	CC_BY_4_0	SEMANTIC_MINING_COMPLETE_OR_METADATA_ONLY	PROBE_POSITIVE	ACCESSIBLE_DESCRIPTOR_OR_SEMANTIC_REFERENCE_ROUTE	PMC11675256 Table 1	restricted://batch7_acquisition/raw/route.epmc.pmc11675256.storage-temperature-lexicon/af13263ded703b6a8bd2d321.xml	425aefaa6a6b1f5558b7b271912f7a7675ed16b5bfc8be65451e879771eb4375	254648	NONE
route.epmc.pmc13279845.espresso-lexicon	family.pmc13279845_espresso	TRAINED_PANEL_RESEARCH	en|pt-context	true	true	200	application/xml	true	false	true	false	false	CC_BY_4_0	SEMANTIC_MINING_COMPLETE_OR_METADATA_ONLY	PROBE_POSITIVE	ACCESSIBLE_DESCRIPTOR_OR_SEMANTIC_REFERENCE_ROUTE	PMC13279845 Table 1	restricted://batch7_acquisition/raw/route.epmc.pmc13279845.espresso-lexicon/7840bdec53a4346aca6f8467.xml	8d961983b5a647afc5aea9fa7983f4ccc54da96d523bf1f80332cdc2d94379d6	122511	NONE
route.epmc.pmc3951592.storage-sensory	family.pmc3951592_storage_sensory	TRAINED_PANEL_RESEARCH	en	true	true	200	application/xml	false	false	false	true	false	CC_BY_2_5_NONCOMMERCIAL	SEMANTIC_MINING_COMPLETE_OR_METADATA_ONLY	PROBE_ZERO_YIELD	ACCESSIBLE_ROUTE_WITH_NO_ADMITTED_DESCRIPTOR_SURFACE	PMC3951592 Table 2	restricted://batch7_acquisition/raw/route.epmc.pmc3951592.storage-sensory/73582811cd98f52b97833a2e.xml	785542dcf7f659941ebd12e2f7221f8e21cb5f16da1ea0c41e652f4be5b5f782	56955	NONE
route.epmc.pmc9386398.yunnan-lexicon	family.pmc9386398_yunnan	TRAINED_PANEL_RESEARCH	en|zh-context	true	true	200	application/xml	false	false	false	true	false	CC_BY_NC_ND_4_0_CITATION_ONLY	SEMANTIC_MINING_COMPLETE_OR_METADATA_ONLY	PROBE_ZERO_YIELD	ACCESSIBLE_ROUTE_WITH_NO_ADMITTED_DESCRIPTOR_SURFACE	PMC9386398 Table 2	restricted://batch7_acquisition/raw/route.epmc.pmc9386398.yunnan-lexicon/e42a23a04cc945a8dfffe19a.xml	c110c0ddf1f2b83269c11d5ba499f45d37153d86d90a4405c3f2981435ebf9a4	118612	NONE
route.iso.18794-2025.coffee-sensory-vocabulary	family.iso_18794_2025	STANDARD_OR_LEXICON	en	true	true	200	text/html	true	false	true	false	false	ALL_RIGHTS_RESERVED_HASH_AND_LOCATOR_ONLY	SEMANTIC_MINING_COMPLETE_OR_METADATA_ONLY	PROBE_POSITIVE	ACCESSIBLE_DESCRIPTOR_OR_SEMANTIC_REFERENCE_ROUTE	ISO 18794:2025 Online Browsing Platform	restricted://batch7_acquisition/raw/route.iso.18794-2025.coffee-sensory-vocabulary/215f7f712e484c18703e097b.html	e751ca5eec652b83930602b175b2d7bcc1e714dcd91a2ce53de08fd6015c6d43	101224	NONE
route.sca.cva-terminology-glossaries	family.sca_cva_glossaries	STANDARD_OR_LEXICON	en|es|fr|ko|pt|zh-Hans|zh-Hant	true	true	200	text/html	true	false	true	false	false	ALL_RIGHTS_RESERVED_CITATION_ONLY	SEMANTIC_MINING_COMPLETE_OR_METADATA_ONLY	PROBE_POSITIVE	ACCESSIBLE_DESCRIPTOR_OR_SEMANTIC_REFERENCE_ROUTE	SCA Coffee Value Assessment glossary landing page	restricted://batch7_acquisition/raw/route.sca.cva-terminology-glossaries/00f3bf18a42e0cea519f9338.html	ef9c567cfd68a4cd328152b22de2d11df1db3be87f547b6a3ddba73534d73779	971286	NONE
route.zenodo.20840464.q-grader-dataset	family.zenodo_golovinsky_q_grader_dataset	Q_GRADER_DATASET	en	true	true	200	text/html	true	true	false	false	false	EXISTING_GOVERNED_SNAPSHOT_NO_DUPLICATE_IMPORT	DUPLICATE_SATURATED	DUPLICATE_SATURATED	EXISTING_GOVERNED_SOURCE_FAMILY_NO_DUPLICATE_IMPORT	Zenodo record 20840464	restricted://batch7_acquisition/raw/route.zenodo.20840464.q-grader-dataset/8795a75d1c3c6a32fb486758.html	1272f5bc79d14647a7223e3f0c23bd69652257a1bbf4f326d997fe8f0ec01173	135643	NONE
