source_route_id	source_family_id	source_class	languages	source_url	adapter_id	route_schema_id	current_state	rights_state	robots_access_decision	semantic_reference	row_level_observations	artifact_cursor	retry_state	failure_taxonomy
route.epmc.pmc8774372.brewed-black-coffee	family.pmc8774372_brewed_black_coffee	TRAINED_PANEL_RESEARCH	en	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8774372/fullTextXML	adapter.epmc.jats-trained-panel-v1	schema.epmc.jats-table.v1	PROBE_POSITIVE	CC_BY_4_0	API_ENDPOINT_DOCUMENTED_FOR_OPEN_ACCESS_FULL_TEXT	true	true	PMC8774372 Table 3 and Table 4	NO_PENDING_RETRY	NONE
route.epmc.pmc13163763.cafe-latte-lexicon	family.pmc13163763_cafe_latte	TRAINED_PANEL_RESEARCH	en|ko-context	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC13163763/fullTextXML	adapter.epmc.jats-trained-panel-v1	schema.epmc.jats-table.v1	PROBE_POSITIVE	CC_BY_4_0	API_ENDPOINT_DOCUMENTED_FOR_OPEN_ACCESS_FULL_TEXT	true	false	PMC13163763 Table 2	NO_PENDING_RETRY	NONE
route.epmc.pmc6776322.retronasal-aroma	family.pmc6776322_retronasal_aroma	TRAINED_PANEL_RESEARCH	en	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6776322/fullTextXML	adapter.epmc.jats-trained-panel-v1	schema.epmc.jats-table.v1	PROBE_POSITIVE	CC_BY_4_0	API_ENDPOINT_DOCUMENTED_FOR_OPEN_ACCESS_FULL_TEXT	true	false	PMC6776322 Table 2	NO_PENDING_RETRY	NONE
route.epmc.pmc11675256.storage-temperature-lexicon	family.pmc11675256_storage_temperature	TRAINED_PANEL_RESEARCH	en	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11675256/fullTextXML	adapter.epmc.jats-trained-panel-v1	schema.epmc.jats-table.v1	PROBE_POSITIVE	CC_BY_4_0	API_ENDPOINT_DOCUMENTED_FOR_OPEN_ACCESS_FULL_TEXT	true	false	PMC11675256 Table 1	NO_PENDING_RETRY	NONE
route.epmc.pmc13279845.espresso-lexicon	family.pmc13279845_espresso	TRAINED_PANEL_RESEARCH	en|pt-context	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC13279845/fullTextXML	adapter.epmc.jats-trained-panel-v1	schema.epmc.jats-table.v1	PROBE_POSITIVE	CC_BY_4_0	API_ENDPOINT_DOCUMENTED_FOR_OPEN_ACCESS_FULL_TEXT	true	false	PMC13279845 Table 1	NO_PENDING_RETRY	NONE
route.epmc.pmc3951592.storage-sensory	family.pmc3951592_storage_sensory	TRAINED_PANEL_RESEARCH	en	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC3951592/fullTextXML	adapter.epmc.jats-trained-panel-v1	schema.epmc.jats-table.v1	PROBE_ZERO_YIELD	CC_BY_2_5_NONCOMMERCIAL	API_ENDPOINT_DOCUMENTED_FOR_OPEN_ACCESS_FULL_TEXT	false	false	PMC3951592 Table 2	NO_PENDING_RETRY	NONE
route.epmc.pmc9386398.yunnan-lexicon	family.pmc9386398_yunnan	TRAINED_PANEL_RESEARCH	en|zh-context	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9386398/fullTextXML	adapter.epmc.jats-trained-panel-v1	schema.epmc.jats-table.v1	PROBE_ZERO_YIELD	CC_BY_NC_ND_4_0_CITATION_ONLY	API_ENDPOINT_DOCUMENTED_FOR_OPEN_ACCESS_FULL_TEXT	false	false	PMC9386398 Table 2	NO_PENDING_RETRY	NONE
route.iso.18794-2025.coffee-sensory-vocabulary	family.iso_18794_2025	STANDARD_OR_LEXICON	en	https://www.iso.org/obp/ui?_escaped_fragment_=iso:std:iso:18794:ed-2:v1:en	adapter.web.metadata-probe-v1	schema.web.reference-page.v1	PROBE_POSITIVE	ALL_RIGHTS_RESERVED_HASH_AND_LOCATOR_ONLY	PUBLIC_ONLINE_BROWSING_PLATFORM_METADATA_AND_HASH_ONLY	true	false	ISO 18794:2025 Online Browsing Platform	NO_PENDING_RETRY	NONE
route.sca.cva-terminology-glossaries	family.sca_cva_glossaries	STANDARD_OR_LEXICON	en|es|fr|ko|pt|zh-Hans|zh-Hant	https://sca.coffee/value-assessment/	adapter.web.metadata-probe-v1	schema.web.reference-page.v1	PROBE_POSITIVE	ALL_RIGHTS_RESERVED_CITATION_ONLY	PUBLIC_PAGE_METADATA_ONLY_NO_WHEEL_OR_GLOSSARY_REPUBLICATION	true	false	SCA Coffee Value Assessment glossary landing page	NO_PENDING_RETRY	NONE
route.zenodo.20840464.q-grader-dataset	family.zenodo_golovinsky_q_grader_dataset	Q_GRADER_DATASET	en	https://zenodo.org/records/20840464	adapter.web.metadata-probe-v1	schema.web.dataset-landing-page.v1	DUPLICATE_SATURATED	EXISTING_GOVERNED_SNAPSHOT_NO_DUPLICATE_IMPORT	PUBLIC_REPOSITORY_LANDING_PAGE	false	true	Zenodo record 20840464	NO_PENDING_RETRY	NONE
