rule_id	normalized_span	concepts	status	human_approval	relation	scope	activation	all_development_input_support	basis	lexical_reference_url
R6-73cce42f1f0e	berry	attribute.fruity	SOURCE_CHECKED	NOT_REVIEWED_BY_HUMAN	BROAD_CATEGORY_ONLY	EXACT_COMPLETE_LIST_FRAGMENT	REQUIRES_THIS_FOLD_TRAIN_AB_SUPPORT	SUPPORTED_INPUT_ONLY_NOT_EVALUATED	Berry references support fruit category only; colour does not identify a berry species	https://dictionary.cambridge.org/us/dictionary/english/berry
R6-e13fb53a594f	berries	attribute.fruity	SOURCE_CHECKED	NOT_REVIEWED_BY_HUMAN	BROAD_CATEGORY_ONLY	EXACT_COMPLETE_LIST_FRAGMENT	REQUIRES_THIS_FOLD_TRAIN_AB_SUPPORT	SUPPORTED_INPUT_ONLY_NOT_EVALUATED	Berry references support fruit category only; colour does not identify a berry species	https://dictionary.cambridge.org/us/dictionary/english/berry
R6-1408707da368	dark berries	attribute.fruity	SOURCE_CHECKED	NOT_REVIEWED_BY_HUMAN	BROAD_CATEGORY_ONLY	EXACT_COMPLETE_LIST_FRAGMENT	REQUIRES_THIS_FOLD_TRAIN_AB_SUPPORT	SUPPORTED_INPUT_ONLY_NOT_EVALUATED	Berry references support fruit category only; colour does not identify a berry species	https://dictionary.cambridge.org/us/dictionary/english/berry
R6-50717f32c5e6	red berries	attribute.fruity	SOURCE_CHECKED	NOT_REVIEWED_BY_HUMAN	BROAD_CATEGORY_ONLY	EXACT_COMPLETE_LIST_FRAGMENT	REQUIRES_THIS_FOLD_TRAIN_AB_SUPPORT	SUPPORTED_INPUT_ONLY_NOT_EVALUATED	Berry references support fruit category only; colour does not identify a berry species	https://dictionary.cambridge.org/us/dictionary/english/berry
R6-f25abed04572	black berries	attribute.fruity	SOURCE_CHECKED	NOT_REVIEWED_BY_HUMAN	BROAD_CATEGORY_ONLY	EXACT_COMPLETE_LIST_FRAGMENT	REQUIRES_THIS_FOLD_TRAIN_AB_SUPPORT	SUPPORTED_INPUT_ONLY_NOT_EVALUATED	Berry references support fruit category only; colour does not identify a berry species	https://dictionary.cambridge.org/us/dictionary/english/berry
R6-55647a2b3399	dried fruits	attribute.fruity	SOURCE_CHECKED	NOT_REVIEWED_BY_HUMAN	BROAD_CATEGORY_ONLY	EXACT_COMPLETE_LIST_FRAGMENT	REQUIRES_THIS_FOLD_TRAIN_AB_SUPPORT	SUPPORTED_INPUT_ONLY_NOT_EVALUATED	Explicit named fruit family; no constituent fruit inferred	
R6-e9664961c84a	tropical fruits	attribute.fruity	SOURCE_CHECKED	NOT_REVIEWED_BY_HUMAN	BROAD_CATEGORY_ONLY	EXACT_COMPLETE_LIST_FRAGMENT	REQUIRES_THIS_FOLD_TRAIN_AB_SUPPORT	SUPPORTED_INPUT_ONLY_NOT_EVALUATED	Explicit named fruit family; no constituent fruit inferred	
R6-9209526aaa61	fruit	attribute.fruity	SOURCE_CHECKED	NOT_REVIEWED_BY_HUMAN	BROAD_CATEGORY_ONLY	EXACT_COMPLETE_LIST_FRAGMENT	REQUIRES_THIS_FOLD_TRAIN_AB_SUPPORT	NOT_APPLIED_NO_NEW_INPUT_SUPPORT	Explicit named fruit family; no constituent fruit inferred	
R6-5b213c264869	yellow fruits	attribute.fruity	SOURCE_CHECKED	NOT_REVIEWED_BY_HUMAN	BROAD_CATEGORY_ONLY	EXACT_COMPLETE_LIST_FRAGMENT	REQUIRES_THIS_FOLD_TRAIN_AB_SUPPORT	SUPPORTED_INPUT_ONLY_NOT_EVALUATED	Explicit named fruit family; no constituent fruit inferred	
R6-82beaabfb5d6	overripe fruits	attribute.fruity	SOURCE_CHECKED	NOT_REVIEWED_BY_HUMAN	BROAD_CATEGORY_ONLY	EXACT_COMPLETE_LIST_FRAGMENT	REQUIRES_THIS_FOLD_TRAIN_AB_SUPPORT	SUPPORTED_INPUT_ONLY_NOT_EVALUATED	Explicit named fruit family; no constituent fruit inferred	
