metric	observed_value	basis
RAW_SEGMENTED_DESCRIPTOR_ASSERTION_COUNT	158	CANONICAL_DESCRIPTOR_ASSERTION_LEDGER.tsv
ASSERTION_LEVEL_DEINFLATED_COUNT	157	counts_as_assertion=true
EFFECTIVE_RECORD_LEVEL_UNIQUE_DESCRIPTOR_COUNT	155	counts_as_record_unique_descriptor=true
DESCRIPTOR_BEARING_EFFECTIVE_RECORD_COUNT	9	distinct effective_record_id
JUDGE_OR_OBSERVATION_LEVEL_COUNT	NA_NO_JUDGE_OR_OBSERVATION_IDENTIFIERS	Official fields are aggregate record-level passages.
SET_LEVEL_COASSERTION_RECORD_COUNT	9	records with at least two de-inflated source atoms
PAIR_EDGE_EVENT_COUNT	661	Round 3M events plus current record combinations
UNIQUE_SUPPORTED_PAIR_COUNT	659	unique sorted source-atom hash pairs
STRICT_FLAVOR_ASSERTION_COUNT	96	assertion-level de-inflated
BROAD_SENSORY_ASSERTION_COUNT	61	assertion-level de-inflated
P1_ASSERTION_COUNT	0	assertion-level de-inflated
P2_ASSERTION_COUNT	73	assertion-level de-inflated
P3_ASSERTION_COUNT	0	assertion-level de-inflated
P4_ASSERTION_COUNT	0	assertion-level de-inflated
PROVENANCE_UNRESOLVED_ASSERTION_COUNT	84	assertion-level de-inflated
SOURCE_NATIVE_HASH_IDENTITY_COUNT	130	restricted lexical forms counted by SHA-256 identity
REVIEWED_NORMALIZED_DESCRIPTOR_FORM_COUNT	0	No source atoms have a reviewed canonical mapping.
UNMAPPED_DESCRIPTOR_ASSERTION_COUNT	157	All de-inflated assertions remain unmapped.
