corpus_view	support_band	effective_record_support	descriptor_count	reason
ALL_PROFESSIONAL_CANDIDATES	SINGLETON	1	1891	PROVISIONAL_MACHINE_NORMALIZATION_NOT_HUMAN_REVIEWED
ALL_PROFESSIONAL_CANDIDATES	VERY_LOW	2-4	579	PROVISIONAL_MACHINE_NORMALIZATION_NOT_HUMAN_REVIEWED
ALL_PROFESSIONAL_CANDIDATES	LOW	5-9	184	PROVISIONAL_MACHINE_NORMALIZATION_NOT_HUMAN_REVIEWED
ALL_PROFESSIONAL_CANDIDATES	EMERGING	10-19	103	PROVISIONAL_MACHINE_NORMALIZATION_NOT_HUMAN_REVIEWED
ALL_PROFESSIONAL_CANDIDATES	USABLE	20-49	73	PROVISIONAL_MACHINE_NORMALIZATION_NOT_HUMAN_REVIEWED
ALL_PROFESSIONAL_CANDIDATES	STRONG	50-99	47	PROVISIONAL_MACHINE_NORMALIZATION_NOT_HUMAN_REVIEWED
ALL_PROFESSIONAL_CANDIDATES	HIGH_SUPPORT	100+	38	PROVISIONAL_MACHINE_NORMALIZATION_NOT_HUMAN_REVIEWED
SOURCE_AUDITED_CANDIDATES	SINGLETON	1	1891	PROVISIONAL_MACHINE_NORMALIZATION_NOT_HUMAN_REVIEWED
SOURCE_AUDITED_CANDIDATES	VERY_LOW	2-4	579	PROVISIONAL_MACHINE_NORMALIZATION_NOT_HUMAN_REVIEWED
SOURCE_AUDITED_CANDIDATES	LOW	5-9	184	PROVISIONAL_MACHINE_NORMALIZATION_NOT_HUMAN_REVIEWED
SOURCE_AUDITED_CANDIDATES	EMERGING	10-19	103	PROVISIONAL_MACHINE_NORMALIZATION_NOT_HUMAN_REVIEWED
SOURCE_AUDITED_CANDIDATES	USABLE	20-49	73	PROVISIONAL_MACHINE_NORMALIZATION_NOT_HUMAN_REVIEWED
SOURCE_AUDITED_CANDIDATES	STRONG	50-99	47	PROVISIONAL_MACHINE_NORMALIZATION_NOT_HUMAN_REVIEWED
SOURCE_AUDITED_CANDIDATES	HIGH_SUPPORT	100+	38	PROVISIONAL_MACHINE_NORMALIZATION_NOT_HUMAN_REVIEWED
GOLD_CANDIDATES	SINGLETON	1	477	PROVISIONAL_MACHINE_NORMALIZATION_NOT_HUMAN_REVIEWED
GOLD_CANDIDATES	VERY_LOW	2-4	168	PROVISIONAL_MACHINE_NORMALIZATION_NOT_HUMAN_REVIEWED
GOLD_CANDIDATES	LOW	5-9	72	PROVISIONAL_MACHINE_NORMALIZATION_NOT_HUMAN_REVIEWED
GOLD_CANDIDATES	EMERGING	10-19	32	PROVISIONAL_MACHINE_NORMALIZATION_NOT_HUMAN_REVIEWED
GOLD_CANDIDATES	USABLE	20-49	33	PROVISIONAL_MACHINE_NORMALIZATION_NOT_HUMAN_REVIEWED
GOLD_CANDIDATES	STRONG	50-99	9	PROVISIONAL_MACHINE_NORMALIZATION_NOT_HUMAN_REVIEWED
GOLD_CANDIDATES	HIGH_SUPPORT	100+	2	PROVISIONAL_MACHINE_NORMALIZATION_NOT_HUMAN_REVIEWED
SILVER_CANDIDATES	SINGLETON	1	1509	PROVISIONAL_MACHINE_NORMALIZATION_NOT_HUMAN_REVIEWED
SILVER_CANDIDATES	VERY_LOW	2-4	490	PROVISIONAL_MACHINE_NORMALIZATION_NOT_HUMAN_REVIEWED
SILVER_CANDIDATES	LOW	5-9	139	PROVISIONAL_MACHINE_NORMALIZATION_NOT_HUMAN_REVIEWED
SILVER_CANDIDATES	EMERGING	10-19	76	PROVISIONAL_MACHINE_NORMALIZATION_NOT_HUMAN_REVIEWED
SILVER_CANDIDATES	USABLE	20-49	58	PROVISIONAL_MACHINE_NORMALIZATION_NOT_HUMAN_REVIEWED
SILVER_CANDIDATES	STRONG	50-99	41	PROVISIONAL_MACHINE_NORMALIZATION_NOT_HUMAN_REVIEWED
SILVER_CANDIDATES	HIGH_SUPPORT	100+	30	PROVISIONAL_MACHINE_NORMALIZATION_NOT_HUMAN_REVIEWED
BRONZE_CANDIDATES	SINGLETON	1	65	PROVISIONAL_MACHINE_NORMALIZATION_NOT_HUMAN_REVIEWED
BRONZE_CANDIDATES	VERY_LOW	2-4	35	PROVISIONAL_MACHINE_NORMALIZATION_NOT_HUMAN_REVIEWED
BRONZE_CANDIDATES	LOW	5-9	19	PROVISIONAL_MACHINE_NORMALIZATION_NOT_HUMAN_REVIEWED
BRONZE_CANDIDATES	EMERGING	10-19	4	PROVISIONAL_MACHINE_NORMALIZATION_NOT_HUMAN_REVIEWED
BRONZE_CANDIDATES	USABLE	20-49	0	PROVISIONAL_MACHINE_NORMALIZATION_NOT_HUMAN_REVIEWED
BRONZE_CANDIDATES	STRONG	50-99	0	PROVISIONAL_MACHINE_NORMALIZATION_NOT_HUMAN_REVIEWED
BRONZE_CANDIDATES	HIGH_SUPPORT	100+	0	PROVISIONAL_MACHINE_NORMALIZATION_NOT_HUMAN_REVIEWED
HUMAN_REVIEWED_P1_P2	SINGLETON	1	0	PROVISIONAL_MACHINE_NORMALIZATION_NOT_HUMAN_REVIEWED
HUMAN_REVIEWED_P1_P2	VERY_LOW	2-4	0	PROVISIONAL_MACHINE_NORMALIZATION_NOT_HUMAN_REVIEWED
HUMAN_REVIEWED_P1_P2	LOW	5-9	0	PROVISIONAL_MACHINE_NORMALIZATION_NOT_HUMAN_REVIEWED
HUMAN_REVIEWED_P1_P2	EMERGING	10-19	0	PROVISIONAL_MACHINE_NORMALIZATION_NOT_HUMAN_REVIEWED
HUMAN_REVIEWED_P1_P2	USABLE	20-49	0	PROVISIONAL_MACHINE_NORMALIZATION_NOT_HUMAN_REVIEWED
HUMAN_REVIEWED_P1_P2	STRONG	50-99	0	PROVISIONAL_MACHINE_NORMALIZATION_NOT_HUMAN_REVIEWED
HUMAN_REVIEWED_P1_P2	HIGH_SUPPORT	100+	0	PROVISIONAL_MACHINE_NORMALIZATION_NOT_HUMAN_REVIEWED
CORE_ELIGIBLE	SINGLETON	1	0	PROVISIONAL_MACHINE_NORMALIZATION_NOT_HUMAN_REVIEWED
CORE_ELIGIBLE	VERY_LOW	2-4	0	PROVISIONAL_MACHINE_NORMALIZATION_NOT_HUMAN_REVIEWED
CORE_ELIGIBLE	LOW	5-9	0	PROVISIONAL_MACHINE_NORMALIZATION_NOT_HUMAN_REVIEWED
CORE_ELIGIBLE	EMERGING	10-19	0	PROVISIONAL_MACHINE_NORMALIZATION_NOT_HUMAN_REVIEWED
CORE_ELIGIBLE	USABLE	20-49	0	PROVISIONAL_MACHINE_NORMALIZATION_NOT_HUMAN_REVIEWED
CORE_ELIGIBLE	STRONG	50-99	0	PROVISIONAL_MACHINE_NORMALIZATION_NOT_HUMAN_REVIEWED
CORE_ELIGIBLE	HIGH_SUPPORT	100+	0	PROVISIONAL_MACHINE_NORMALIZATION_NOT_HUMAN_REVIEWED
MODEL_ELIGIBLE	SINGLETON	1	0	PROVISIONAL_MACHINE_NORMALIZATION_NOT_HUMAN_REVIEWED
MODEL_ELIGIBLE	VERY_LOW	2-4	0	PROVISIONAL_MACHINE_NORMALIZATION_NOT_HUMAN_REVIEWED
MODEL_ELIGIBLE	LOW	5-9	0	PROVISIONAL_MACHINE_NORMALIZATION_NOT_HUMAN_REVIEWED
MODEL_ELIGIBLE	EMERGING	10-19	0	PROVISIONAL_MACHINE_NORMALIZATION_NOT_HUMAN_REVIEWED
MODEL_ELIGIBLE	USABLE	20-49	0	PROVISIONAL_MACHINE_NORMALIZATION_NOT_HUMAN_REVIEWED
MODEL_ELIGIBLE	STRONG	50-99	0	PROVISIONAL_MACHINE_NORMALIZATION_NOT_HUMAN_REVIEWED
MODEL_ELIGIBLE	HIGH_SUPPORT	100+	0	PROVISIONAL_MACHINE_NORMALIZATION_NOT_HUMAN_REVIEWED
P3_P4_AUXILIARY	SINGLETON	1	65	PROVISIONAL_MACHINE_NORMALIZATION_NOT_HUMAN_REVIEWED
P3_P4_AUXILIARY	VERY_LOW	2-4	35	PROVISIONAL_MACHINE_NORMALIZATION_NOT_HUMAN_REVIEWED
P3_P4_AUXILIARY	LOW	5-9	19	PROVISIONAL_MACHINE_NORMALIZATION_NOT_HUMAN_REVIEWED
P3_P4_AUXILIARY	EMERGING	10-19	4	PROVISIONAL_MACHINE_NORMALIZATION_NOT_HUMAN_REVIEWED
P3_P4_AUXILIARY	USABLE	20-49	0	PROVISIONAL_MACHINE_NORMALIZATION_NOT_HUMAN_REVIEWED
P3_P4_AUXILIARY	STRONG	50-99	0	PROVISIONAL_MACHINE_NORMALIZATION_NOT_HUMAN_REVIEWED
P3_P4_AUXILIARY	HIGH_SUPPORT	100+	0	PROVISIONAL_MACHINE_NORMALIZATION_NOT_HUMAN_REVIEWED
PROVENANCE_UNRESOLVED	SINGLETON	1	1509	PROVISIONAL_MACHINE_NORMALIZATION_NOT_HUMAN_REVIEWED
PROVENANCE_UNRESOLVED	VERY_LOW	2-4	490	PROVISIONAL_MACHINE_NORMALIZATION_NOT_HUMAN_REVIEWED
PROVENANCE_UNRESOLVED	LOW	5-9	139	PROVISIONAL_MACHINE_NORMALIZATION_NOT_HUMAN_REVIEWED
