corpus_view	edition_year	assertion_count	effective_record_count	source_family_count
ALL_PROFESSIONAL_CANDIDATES	2008	53	2	1
ALL_PROFESSIONAL_CANDIDATES	2009	18	1	1
ALL_PROFESSIONAL_CANDIDATES	2017	73	5	1
ALL_PROFESSIONAL_CANDIDATES	2025	13	1	1
SOURCE_AUDITED_CANDIDATES	2008	53	2	1
SOURCE_AUDITED_CANDIDATES	2009	18	1	1
SOURCE_AUDITED_CANDIDATES	2017	73	5	1
SOURCE_AUDITED_CANDIDATES	2025	13	1	1
PROVENANCE_UNRESOLVED	2008	53	2	1
PROVENANCE_UNRESOLVED	2009	18	1	1
PROVENANCE_UNRESOLVED	2025	13	1	1
RIGHTS_BLOCKED	2008	53	2	1
RIGHTS_BLOCKED	2009	18	1	1
RIGHTS_BLOCKED	2017	73	5	1
RIGHTS_BLOCKED	2025	13	1	1
