targeted_batch_id	source_family	publisher	source_route	route_schema	language	artifacts_inspected	descriptor_bearing_artifacts	descriptor_bearing_records	raw_assertions	deinflated_assertions	strict_assertions	broad_assertions	gold_assertions	silver_assertions	bronze_assertions	duplicate_losses	non_descriptor_losses	analyst_equivalent_minutes	automated_runtime_seconds	rights_note	disposition	continuation_cursor	basis
professional-descriptor-scaleup-batch2-20260829	family.zenodo_golovinsky_q_grader_dataset	Zenodo; Golovinsky et al.	route.zenodo.20840464.panelist-descriptions	schema.zenodo.panelist-sample-description-matrix.v1	en	1	1	360	4809	4785	3281	1504	4785	0	0	24	0	NA_AUTOMATED_ROUTE_NO_MANUAL_TIMING	NA_ROUTE_TIMING_NOT_INSTRUMENTED;BATCH_RUNTIME_REPORTED_IN_PUBLIC_MANIFEST	AFFIRMATIVE	POSITIVE_ROUTE_SCALED_OR_EXHAUSTED	EXHAUSTED_SINGLE_ARTIFACT_ROUTE	BATCH2_DIRECT_ROUTE
professional-descriptor-scaleup-batch2-20260829	family.project_origin	Project Origin	route.project-origin.current-lot-table	schema.professional-green-coffee-table.cupping-notes.v1	en	1	1	33	302	302	226	76	0	0	302	0	0	NA_AUTOMATED_ROUTE_NO_MANUAL_TIMING	NA_ROUTE_TIMING_NOT_INSTRUMENTED;BATCH_RUNTIME_REPORTED_IN_PUBLIC_MANIFEST	UNKNOWN	POSITIVE_ROUTE_SCALED_OR_EXHAUSTED	EXHAUSTED_SINGLE_ARTIFACT_ROUTE	BATCH2_DIRECT_ROUTE
professional-descriptor-scaleup-batch2-20260829	family.coffee_board_of_india_fine_cup	Coffee Board of India / HCIKL	route.india-fine-cup.2019-winning-coffee-brochure	schema.official-auction-brochure.one-lot-per-page.v1	en	1	1	18	59	59	40	19	0	59	0	0	0	NA_AUTOMATED_ROUTE_NO_MANUAL_TIMING	NA_ROUTE_TIMING_NOT_INSTRUMENTED;BATCH_RUNTIME_REPORTED_IN_PUBLIC_MANIFEST	UNKNOWN	POSITIVE_ROUTE_SCALED_OR_EXHAUSTED	EXHAUSTED_SINGLE_ARTIFACT_ROUTE	BATCH2_DIRECT_ROUTE
professional-descriptor-scaleup-batch2-20260829	family.hawaii_agricultural_foundation_isla_ace	Hawaii Agricultural Foundation / Isla Custom Coffees / ACE	route.isla-hawaii.2021-international-jury-auction-booklet	schema.official-auction-booklet.explicit-international-jury.v1	en	0	0	0	0	0	0	0	0	0	0	0	0	NA_AUTOMATED_ROUTE_NO_MANUAL_TIMING	NA_ROUTE_TIMING_NOT_INSTRUMENTED;BATCH_RUNTIME_REPORTED_IN_PUBLIC_MANIFEST	PENDING	BLOCKED_PUBLIC_ACCESS	RETRY:https://www.islacoffees.com/wp-content/uploads/2021/03/ISLA.ACE_.COFFEE.AUCTION.2021.pdf	offline cache is missing: /private/tmp/round3l-acquisition/professional_descriptor_batch2/raw/isla-hawaii-ace-auction-2021.pdf
professional-descriptor-scaleup-batch2-20260829	family.forward_specialty_green_coffee	Forward Specialty Green Coffee / FTA Coffee	route.fta-green-coffee.offering-list	schema.professional-green-coffee-pdf.cupping-notes.v1	en	1	0	0	0	0	0	0	0	0	0	0	0	NA_AUTOMATED_ROUTE_NO_MANUAL_TIMING	NA_ROUTE_TIMING_NOT_INSTRUMENTED;BATCH_RUNTIME_REPORTED_IN_PUBLIC_MANIFEST	UNKNOWN	ZERO_YIELD_PROBE_STOPPED	EXHAUSTED_SINGLE_ARTIFACT_ROUTE	BATCH2_DIRECT_ROUTE
professional-descriptor-scaleup-batch2-20260829	family.melbourne_coffee_merchants	Melbourne Coffee Merchants	route.mcm.2024-11-19-web-list	schema.professional-green-coffee-pdf.cupping-notes.v1	en	0	0	0	0	0	0	0	0	0	0	0	0	NA_AUTOMATED_ROUTE_NO_MANUAL_TIMING	NA_ROUTE_TIMING_NOT_INSTRUMENTED;BATCH_RUNTIME_REPORTED_IN_PUBLIC_MANIFEST	UNKNOWN	BLOCKED_PUBLIC_ACCESS	RETRY:https://melbournecoffeemerchants.com.au/wp-content/uploads/2024/11/MCM-Web-List-19.11.24.pdf	offline cache is missing: /private/tmp/round3l-acquisition/professional_descriptor_batch2/raw/melbourne-coffee-merchants-2024-11-19.pdf
professional-descriptor-scaleup-batch2-20260829	family.sheba_coffee_yemen_auction	Sheba Coffee	route.sheba.haraz-auction-2021	schema.professional-auction-html.cupping-notes.v1	en	1	1	9	28	28	27	1	0	0	28	0	0	NA_AUTOMATED_ROUTE_NO_MANUAL_TIMING	NA_ROUTE_TIMING_NOT_INSTRUMENTED;BATCH_RUNTIME_REPORTED_IN_PUBLIC_MANIFEST	UNKNOWN	POSITIVE_ROUTE_SCALED_OR_EXHAUSTED	EXHAUSTED_SINGLE_ARTIFACT_ROUTE	BATCH2_DIRECT_ROUTE
professional-descriptor-scaleup-batch2-20260829	family.ace_cup_of_excellence	Alliance for Coffee Excellence / Cup of Excellence	route.coe.explicit-top-jury-detail	schema.coe.explicit-top-jury-description.v2	en	14	14	14	197	197	148	49	197	0	0	0	0	NA_AUTOMATED_ROUTE_NO_MANUAL_TIMING	NA_ROUTE_TIMING_NOT_INSTRUMENTED;BATCH_RUNTIME_REPORTED_IN_PUBLIC_MANIFEST	PENDING	POSITIVE_ROUTE_CHECKPOINT_TARGET_REACHED	archive-page=12;detail-index=10;url=https://farmdirectory.cupofexcellence.org/listing/9-liquidambar-honduras-2026-parainema-catracha/	BATCH2_DIRECT_ROUTE
professional-descriptor-scaleup-batch2-20260829	family.ace_cup_of_excellence	Alliance for Coffee Excellence / Cup of Excellence	route.coe.generic-official-sensory-detail	schema.coe.structured-official-sensory-fields.v2	en	827	598	598	14692	14475	11965	2510	0	14475	0	18	0	NA_AUTOMATED_ROUTE_NO_MANUAL_TIMING	NA_ROUTE_TIMING_NOT_INSTRUMENTED;BATCH_RUNTIME_REPORTED_IN_PUBLIC_MANIFEST	UNKNOWN	POSITIVE_ROUTE_CHECKPOINT_TARGET_REACHED	archive-page=12;detail-index=10;url=https://farmdirectory.cupofexcellence.org/listing/9-liquidambar-honduras-2026-parainema-catracha/	BATCH2_DIRECT_ROUTE
professional-descriptor-scaleup-batch2-20260829	family.best_of_panama_scap	Specialty Coffee Association of Panama	route.best-of-panama.official-result-tables	OFFICIAL_RESULT_TABLE	en	14	0	0	0	0	0	0	0	0	0	0	408	NA_AUTOMATED_ROUTE_NO_MANUAL_TIMING	NA_ROUTE_TIMING_NOT_INSTRUMENTED;BATCH_RUNTIME_REPORTED_IN_PUBLIC_MANIFEST	PENDING	ZERO_YIELD_ROUTE_STOPPED_RESULT_METADATA_ONLY	official-scap-archive-2003	ROUND3L_PUBLIC_CHECKPOINT_REUSED_NO_RESCAN
