audit_surface	rights_status	output_atom_count	admission_status	decision_basis
ALL_OUTPUT_ATOMS	AFFIRMATIVE	0	PERMITTED	PURPOSE_SPECIFIC_NONCOMMERCIAL_MODEL_RESEARCH_RIGHTS_ONLY
ALL_OUTPUT_ATOMS	AFFIRMATIVE_WITH_CONDITIONS	5936	PERMITTED	PURPOSE_SPECIFIC_NONCOMMERCIAL_MODEL_RESEARCH_RIGHTS_ONLY
ALL_OUTPUT_ATOMS	PENDING	282	EXCLUDED	PURPOSE_SPECIFIC_NONCOMMERCIAL_MODEL_RESEARCH_RIGHTS_ONLY
ALL_OUTPUT_ATOMS	UNKNOWN	25458	EXCLUDED	PURPOSE_SPECIFIC_NONCOMMERCIAL_MODEL_RESEARCH_RIGHTS_ONLY
ALL_OUTPUT_ATOMS	PROHIBITED	0	EXCLUDED	PURPOSE_SPECIFIC_NONCOMMERCIAL_MODEL_RESEARCH_RIGHTS_ONLY
ALL_OUTPUT_ATOMS	OWNER_POLICY_REQUIRED	0	EXCLUDED	PURPOSE_SPECIFIC_NONCOMMERCIAL_MODEL_RESEARCH_RIGHTS_ONLY
VALID_STRICT_FLAVOR	AFFIRMATIVE	0	PERMITTED	PURPOSE_SPECIFIC_NONCOMMERCIAL_MODEL_RESEARCH_RIGHTS_ONLY
VALID_STRICT_FLAVOR	AFFIRMATIVE_WITH_CONDITIONS	4096	PERMITTED	PURPOSE_SPECIFIC_NONCOMMERCIAL_MODEL_RESEARCH_RIGHTS_ONLY
VALID_STRICT_FLAVOR	PENDING	220	EXCLUDED	PURPOSE_SPECIFIC_NONCOMMERCIAL_MODEL_RESEARCH_RIGHTS_ONLY
VALID_STRICT_FLAVOR	UNKNOWN	21086	EXCLUDED	PURPOSE_SPECIFIC_NONCOMMERCIAL_MODEL_RESEARCH_RIGHTS_ONLY
VALID_STRICT_FLAVOR	PROHIBITED	0	EXCLUDED	PURPOSE_SPECIFIC_NONCOMMERCIAL_MODEL_RESEARCH_RIGHTS_ONLY
VALID_STRICT_FLAVOR	OWNER_POLICY_REQUIRED	0	EXCLUDED	PURPOSE_SPECIFIC_NONCOMMERCIAL_MODEL_RESEARCH_RIGHTS_ONLY
MACHINE_GOVERNED_STRICT	AFFIRMATIVE	0	PERMITTED	PURPOSE_SPECIFIC_NONCOMMERCIAL_MODEL_RESEARCH_RIGHTS_ONLY
MACHINE_GOVERNED_STRICT	AFFIRMATIVE_WITH_CONDITIONS	1005	PERMITTED	PURPOSE_SPECIFIC_NONCOMMERCIAL_MODEL_RESEARCH_RIGHTS_ONLY
MACHINE_GOVERNED_STRICT	PENDING	65	EXCLUDED	PURPOSE_SPECIFIC_NONCOMMERCIAL_MODEL_RESEARCH_RIGHTS_ONLY
MACHINE_GOVERNED_STRICT	UNKNOWN	8369	EXCLUDED	PURPOSE_SPECIFIC_NONCOMMERCIAL_MODEL_RESEARCH_RIGHTS_ONLY
MACHINE_GOVERNED_STRICT	PROHIBITED	0	EXCLUDED	PURPOSE_SPECIFIC_NONCOMMERCIAL_MODEL_RESEARCH_RIGHTS_ONLY
MACHINE_GOVERNED_STRICT	OWNER_POLICY_REQUIRED	0	EXCLUDED	PURPOSE_SPECIFIC_NONCOMMERCIAL_MODEL_RESEARCH_RIGHTS_ONLY
