descriptor_assertion_id	source_family_id	source_route_id	route_schema	source_url	source_artifact_sha256	source_locator	effective_record_id	coffee_identity_id	edition_or_release	edition_year	source_language	preparation_service	roast_evidence_sha256_or_state	source_field_label	raw_field_text_sha256	atomic_source_text_sha256	source_native_form_sha256	descriptor_class	evidence_tier	collection_tier	provenance_state	rights_state	rights_basis	publication_layer	judge_observation_id_sha256	provisional_normalized_form_id	provisional_normalized_form_sha256	mapping_status	mapping_method	mapping_confidence	mapping_basis	review_requirement	human_reviewed	model_eligible	counts_as_assertion	counts_as_record_unique_descriptor	source_text_storage_state	provisional_normalized_form	roast_evidence	publisher_id	extension_batch_id	parser_version	adapter_version	acquisition_cursor	frozen_snapshot_version	frozen_snapshot_member
assertion-b7:6b309ef7b80dd57927e102f3	family.pmc8774372_brewed_black_coffee	route.epmc.pmc8774372.brewed-black-coffee	schema.epmc.jats-table.v1	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8774372/fullTextXML	d578fd743c9fb844de976648c008bf89c3d9869e2cfd5703eb713c83f44676ba	PMC8774372#table-4-row-1-sample-562	effective-b7:a42a882a2b7eac01562f050f	coffee-b7:a42a882a2b7eac01562f050f	PMC8774372 version of record	2022	en	UNREPORTED_SOURCE_METHOD_NOT_IN_ASSERTION_TABLE	5818428b08945d56dfce0f7d4472f2ec8367d629e7f77b4ea6371ea63466d3cb	Table 4 trained-panel aggregate intensity	7278282f476ebdd5a2404ca340c7695ce6cf5c8d897e91ede841c7c3c4c27a44	7278282f476ebdd5a2404ca340c7695ce6cf5c8d897e91ede841c7c3c4c27a44	7278282f476ebdd5a2404ca340c7695ce6cf5c8d897e91ede841c7c3c4c27a44	STRICT_FLAVOR	P2	GOLD	PEER_REVIEWED_TRAINED_PANEL_AGGREGATE	AFFIRMATIVE	CC_BY_4_0_ATTRIBUTION_REQUIRED	TRAINED_PANEL_AGGREGATE_TABLE		provisional-form:641bea10aaf5abddfa71423c	641bea10aaf5abddfa71423ca573c0d70d5effa3491fc8daa458f6bb9daf6ce8	AUTO_ORTHOGRAPHIC	NFKC_CASE_SPACE_PUNCTUATION	0.990000	CASE_SPACING_AND_PUNCTUATION_NORMALIZATION	AUTO_PROVISIONALLY_MAPPED	false	false	true	true	OWNER_CONTROLLED_RESTRICTED_HASH_ONLY_PUBLIC	coffee id	LIGHT	publisher:e824ae51310e21850d45c855	professional-descriptor-post50k-extension-20260831	batch7.epmc-jats.v1	batch7.non-coe-trained-panel.v1	PMC8774372#table-4-row-1-sample-562	professional-descriptor-candidate-v3-50k	false
assertion-b7:39e7d6e95d6dc61547586761	family.pmc8774372_brewed_black_coffee	route.epmc.pmc8774372.brewed-black-coffee	schema.epmc.jats-table.v1	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8774372/fullTextXML	d578fd743c9fb844de976648c008bf89c3d9869e2cfd5703eb713c83f44676ba	PMC8774372#table-4-row-1-sample-187	effective-b7:5dbe262607b0b0b7a91cad93	coffee-b7:5dbe262607b0b0b7a91cad93	PMC8774372 version of record	2022	en	UNREPORTED_SOURCE_METHOD_NOT_IN_ASSERTION_TABLE	5818428b08945d56dfce0f7d4472f2ec8367d629e7f77b4ea6371ea63466d3cb	Table 4 trained-panel aggregate intensity	7278282f476ebdd5a2404ca340c7695ce6cf5c8d897e91ede841c7c3c4c27a44	7278282f476ebdd5a2404ca340c7695ce6cf5c8d897e91ede841c7c3c4c27a44	7278282f476ebdd5a2404ca340c7695ce6cf5c8d897e91ede841c7c3c4c27a44	STRICT_FLAVOR	P2	GOLD	PEER_REVIEWED_TRAINED_PANEL_AGGREGATE	AFFIRMATIVE	CC_BY_4_0_ATTRIBUTION_REQUIRED	TRAINED_PANEL_AGGREGATE_TABLE		provisional-form:641bea10aaf5abddfa71423c	641bea10aaf5abddfa71423ca573c0d70d5effa3491fc8daa458f6bb9daf6ce8	AUTO_ORTHOGRAPHIC	NFKC_CASE_SPACE_PUNCTUATION	0.990000	CASE_SPACING_AND_PUNCTUATION_NORMALIZATION	AUTO_PROVISIONALLY_MAPPED	false	false	true	true	OWNER_CONTROLLED_RESTRICTED_HASH_ONLY_PUBLIC	coffee id	LIGHT	publisher:e824ae51310e21850d45c855	professional-descriptor-post50k-extension-20260831	batch7.epmc-jats.v1	batch7.non-coe-trained-panel.v1	PMC8774372#table-4-row-1-sample-187	professional-descriptor-candidate-v3-50k	false
assertion-b7:7a2a7da237124d9af2036610	family.pmc8774372_brewed_black_coffee	route.epmc.pmc8774372.brewed-black-coffee	schema.epmc.jats-table.v1	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8774372/fullTextXML	d578fd743c9fb844de976648c008bf89c3d9869e2cfd5703eb713c83f44676ba	PMC8774372#table-4-row-1-sample-139	effective-b7:3edab4a9691b533429d441a6	coffee-b7:3edab4a9691b533429d441a6	PMC8774372 version of record	2022	en	UNREPORTED_SOURCE_METHOD_NOT_IN_ASSERTION_TABLE	7c48dd672a68098c3a9dac57805004a146db39c8d60c81d091537ee9c4a76054	Table 4 trained-panel aggregate intensity	7278282f476ebdd5a2404ca340c7695ce6cf5c8d897e91ede841c7c3c4c27a44	7278282f476ebdd5a2404ca340c7695ce6cf5c8d897e91ede841c7c3c4c27a44	7278282f476ebdd5a2404ca340c7695ce6cf5c8d897e91ede841c7c3c4c27a44	STRICT_FLAVOR	P2	GOLD	PEER_REVIEWED_TRAINED_PANEL_AGGREGATE	AFFIRMATIVE	CC_BY_4_0_ATTRIBUTION_REQUIRED	TRAINED_PANEL_AGGREGATE_TABLE		provisional-form:641bea10aaf5abddfa71423c	641bea10aaf5abddfa71423ca573c0d70d5effa3491fc8daa458f6bb9daf6ce8	AUTO_ORTHOGRAPHIC	NFKC_CASE_SPACE_PUNCTUATION	0.990000	CASE_SPACING_AND_PUNCTUATION_NORMALIZATION	AUTO_PROVISIONALLY_MAPPED	false	false	true	true	OWNER_CONTROLLED_RESTRICTED_HASH_ONLY_PUBLIC	coffee id	MEDIUM	publisher:e824ae51310e21850d45c855	professional-descriptor-post50k-extension-20260831	batch7.epmc-jats.v1	batch7.non-coe-trained-panel.v1	PMC8774372#table-4-row-1-sample-139	professional-descriptor-candidate-v3-50k	false
assertion-b7:0c1665d33ae3003aa2e635a7	family.pmc8774372_brewed_black_coffee	route.epmc.pmc8774372.brewed-black-coffee	schema.epmc.jats-table.v1	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8774372/fullTextXML	d578fd743c9fb844de976648c008bf89c3d9869e2cfd5703eb713c83f44676ba	PMC8774372#table-4-row-1-sample-311	effective-b7:e0304e0336308ae749fce4a3	coffee-b7:e0304e0336308ae749fce4a3	PMC8774372 version of record	2022	en	UNREPORTED_SOURCE_METHOD_NOT_IN_ASSERTION_TABLE	7c48dd672a68098c3a9dac57805004a146db39c8d60c81d091537ee9c4a76054	Table 4 trained-panel aggregate intensity	7278282f476ebdd5a2404ca340c7695ce6cf5c8d897e91ede841c7c3c4c27a44	7278282f476ebdd5a2404ca340c7695ce6cf5c8d897e91ede841c7c3c4c27a44	7278282f476ebdd5a2404ca340c7695ce6cf5c8d897e91ede841c7c3c4c27a44	STRICT_FLAVOR	P2	GOLD	PEER_REVIEWED_TRAINED_PANEL_AGGREGATE	AFFIRMATIVE	CC_BY_4_0_ATTRIBUTION_REQUIRED	TRAINED_PANEL_AGGREGATE_TABLE		provisional-form:641bea10aaf5abddfa71423c	641bea10aaf5abddfa71423ca573c0d70d5effa3491fc8daa458f6bb9daf6ce8	AUTO_ORTHOGRAPHIC	NFKC_CASE_SPACE_PUNCTUATION	0.990000	CASE_SPACING_AND_PUNCTUATION_NORMALIZATION	AUTO_PROVISIONALLY_MAPPED	false	false	true	true	OWNER_CONTROLLED_RESTRICTED_HASH_ONLY_PUBLIC	coffee id	MEDIUM	publisher:e824ae51310e21850d45c855	professional-descriptor-post50k-extension-20260831	batch7.epmc-jats.v1	batch7.non-coe-trained-panel.v1	PMC8774372#table-4-row-1-sample-311	professional-descriptor-candidate-v3-50k	false
assertion-b7:7a5487fc6066d486027c67e5	family.pmc8774372_brewed_black_coffee	route.epmc.pmc8774372.brewed-black-coffee	schema.epmc.jats-table.v1	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8774372/fullTextXML	d578fd743c9fb844de976648c008bf89c3d9869e2cfd5703eb713c83f44676ba	PMC8774372#table-4-row-1-sample-849	effective-b7:77f4c7cb1985d1e3d6b3a8d4	coffee-b7:77f4c7cb1985d1e3d6b3a8d4	PMC8774372 version of record	2022	en	UNREPORTED_SOURCE_METHOD_NOT_IN_ASSERTION_TABLE	7c48dd672a68098c3a9dac57805004a146db39c8d60c81d091537ee9c4a76054	Table 4 trained-panel aggregate intensity	7278282f476ebdd5a2404ca340c7695ce6cf5c8d897e91ede841c7c3c4c27a44	7278282f476ebdd5a2404ca340c7695ce6cf5c8d897e91ede841c7c3c4c27a44	7278282f476ebdd5a2404ca340c7695ce6cf5c8d897e91ede841c7c3c4c27a44	STRICT_FLAVOR	P2	GOLD	PEER_REVIEWED_TRAINED_PANEL_AGGREGATE	AFFIRMATIVE	CC_BY_4_0_ATTRIBUTION_REQUIRED	TRAINED_PANEL_AGGREGATE_TABLE		provisional-form:641bea10aaf5abddfa71423c	641bea10aaf5abddfa71423ca573c0d70d5effa3491fc8daa458f6bb9daf6ce8	AUTO_ORTHOGRAPHIC	NFKC_CASE_SPACE_PUNCTUATION	0.990000	CASE_SPACING_AND_PUNCTUATION_NORMALIZATION	AUTO_PROVISIONALLY_MAPPED	false	false	true	true	OWNER_CONTROLLED_RESTRICTED_HASH_ONLY_PUBLIC	coffee id	MEDIUM	publisher:e824ae51310e21850d45c855	professional-descriptor-post50k-extension-20260831	batch7.epmc-jats.v1	batch7.non-coe-trained-panel.v1	PMC8774372#table-4-row-1-sample-849	professional-descriptor-candidate-v3-50k	false
assertion-b7:4eb3b99aacb2c342c97e3a9c	family.pmc8774372_brewed_black_coffee	route.epmc.pmc8774372.brewed-black-coffee	schema.epmc.jats-table.v1	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8774372/fullTextXML	d578fd743c9fb844de976648c008bf89c3d9869e2cfd5703eb713c83f44676ba	PMC8774372#table-4-row-1-sample-968	effective-b7:9d6f8df17d7f67ad4f0e4dca	coffee-b7:9d6f8df17d7f67ad4f0e4dca	PMC8774372 version of record	2022	en	UNREPORTED_SOURCE_METHOD_NOT_IN_ASSERTION_TABLE	7c48dd672a68098c3a9dac57805004a146db39c8d60c81d091537ee9c4a76054	Table 4 trained-panel aggregate intensity	7278282f476ebdd5a2404ca340c7695ce6cf5c8d897e91ede841c7c3c4c27a44	7278282f476ebdd5a2404ca340c7695ce6cf5c8d897e91ede841c7c3c4c27a44	7278282f476ebdd5a2404ca340c7695ce6cf5c8d897e91ede841c7c3c4c27a44	STRICT_FLAVOR	P2	GOLD	PEER_REVIEWED_TRAINED_PANEL_AGGREGATE	AFFIRMATIVE	CC_BY_4_0_ATTRIBUTION_REQUIRED	TRAINED_PANEL_AGGREGATE_TABLE		provisional-form:641bea10aaf5abddfa71423c	641bea10aaf5abddfa71423ca573c0d70d5effa3491fc8daa458f6bb9daf6ce8	AUTO_ORTHOGRAPHIC	NFKC_CASE_SPACE_PUNCTUATION	0.990000	CASE_SPACING_AND_PUNCTUATION_NORMALIZATION	AUTO_PROVISIONALLY_MAPPED	false	false	true	true	OWNER_CONTROLLED_RESTRICTED_HASH_ONLY_PUBLIC	coffee id	MEDIUM	publisher:e824ae51310e21850d45c855	professional-descriptor-post50k-extension-20260831	batch7.epmc-jats.v1	batch7.non-coe-trained-panel.v1	PMC8774372#table-4-row-1-sample-968	professional-descriptor-candidate-v3-50k	false
assertion-b7:977239a1c35fbd330af04567	family.pmc8774372_brewed_black_coffee	route.epmc.pmc8774372.brewed-black-coffee	schema.epmc.jats-table.v1	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8774372/fullTextXML	d578fd743c9fb844de976648c008bf89c3d9869e2cfd5703eb713c83f44676ba	PMC8774372#table-4-row-1-sample-745	effective-b7:397a575d681491a619a2014b	coffee-b7:397a575d681491a619a2014b	PMC8774372 version of record	2022	en	UNREPORTED_SOURCE_METHOD_NOT_IN_ASSERTION_TABLE	9fdc9ad167de8ece70e0b45d5bbea486cd05a32d436592aa18739ed3e02427af	Table 4 trained-panel aggregate intensity	7278282f476ebdd5a2404ca340c7695ce6cf5c8d897e91ede841c7c3c4c27a44	7278282f476ebdd5a2404ca340c7695ce6cf5c8d897e91ede841c7c3c4c27a44	7278282f476ebdd5a2404ca340c7695ce6cf5c8d897e91ede841c7c3c4c27a44	STRICT_FLAVOR	P2	GOLD	PEER_REVIEWED_TRAINED_PANEL_AGGREGATE	AFFIRMATIVE	CC_BY_4_0_ATTRIBUTION_REQUIRED	TRAINED_PANEL_AGGREGATE_TABLE		provisional-form:641bea10aaf5abddfa71423c	641bea10aaf5abddfa71423ca573c0d70d5effa3491fc8daa458f6bb9daf6ce8	AUTO_ORTHOGRAPHIC	NFKC_CASE_SPACE_PUNCTUATION	0.990000	CASE_SPACING_AND_PUNCTUATION_NORMALIZATION	AUTO_PROVISIONALLY_MAPPED	false	false	true	true	OWNER_CONTROLLED_RESTRICTED_HASH_ONLY_PUBLIC	coffee id	DARK	publisher:e824ae51310e21850d45c855	professional-descriptor-post50k-extension-20260831	batch7.epmc-jats.v1	batch7.non-coe-trained-panel.v1	PMC8774372#table-4-row-1-sample-745	professional-descriptor-candidate-v3-50k	false
assertion-b7:5d3b52ffb5ff26f95cf2f87c	family.pmc8774372_brewed_black_coffee	route.epmc.pmc8774372.brewed-black-coffee	schema.epmc.jats-table.v1	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8774372/fullTextXML	d578fd743c9fb844de976648c008bf89c3d9869e2cfd5703eb713c83f44676ba	PMC8774372#table-4-row-1-sample-712	effective-b7:13957270dd4f0447917c1537	coffee-b7:13957270dd4f0447917c1537	PMC8774372 version of record	2022	en	UNREPORTED_SOURCE_METHOD_NOT_IN_ASSERTION_TABLE	9fdc9ad167de8ece70e0b45d5bbea486cd05a32d436592aa18739ed3e02427af	Table 4 trained-panel aggregate intensity	7278282f476ebdd5a2404ca340c7695ce6cf5c8d897e91ede841c7c3c4c27a44	7278282f476ebdd5a2404ca340c7695ce6cf5c8d897e91ede841c7c3c4c27a44	7278282f476ebdd5a2404ca340c7695ce6cf5c8d897e91ede841c7c3c4c27a44	STRICT_FLAVOR	P2	GOLD	PEER_REVIEWED_TRAINED_PANEL_AGGREGATE	AFFIRMATIVE	CC_BY_4_0_ATTRIBUTION_REQUIRED	TRAINED_PANEL_AGGREGATE_TABLE		provisional-form:641bea10aaf5abddfa71423c	641bea10aaf5abddfa71423ca573c0d70d5effa3491fc8daa458f6bb9daf6ce8	AUTO_ORTHOGRAPHIC	NFKC_CASE_SPACE_PUNCTUATION	0.990000	CASE_SPACING_AND_PUNCTUATION_NORMALIZATION	AUTO_PROVISIONALLY_MAPPED	false	false	true	true	OWNER_CONTROLLED_RESTRICTED_HASH_ONLY_PUBLIC	coffee id	DARK	publisher:e824ae51310e21850d45c855	professional-descriptor-post50k-extension-20260831	batch7.epmc-jats.v1	batch7.non-coe-trained-panel.v1	PMC8774372#table-4-row-1-sample-712	professional-descriptor-candidate-v3-50k	false
assertion-b7:a8f75417be41a04d2cf763ca	family.pmc8774372_brewed_black_coffee	route.epmc.pmc8774372.brewed-black-coffee	schema.epmc.jats-table.v1	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8774372/fullTextXML	d578fd743c9fb844de976648c008bf89c3d9869e2cfd5703eb713c83f44676ba	PMC8774372#table-4-row-2-sample-562	effective-b7:a42a882a2b7eac01562f050f	coffee-b7:a42a882a2b7eac01562f050f	PMC8774372 version of record	2022	en	UNREPORTED_SOURCE_METHOD_NOT_IN_ASSERTION_TABLE	5818428b08945d56dfce0f7d4472f2ec8367d629e7f77b4ea6371ea63466d3cb	Table 4 trained-panel aggregate intensity	aa8ad6a6ea5f0b9b393342baa351e283673cf16def275c8d1820f35d196ad2d3	aa8ad6a6ea5f0b9b393342baa351e283673cf16def275c8d1820f35d196ad2d3	aa8ad6a6ea5f0b9b393342baa351e283673cf16def275c8d1820f35d196ad2d3	STRICT_FLAVOR	P2	GOLD	PEER_REVIEWED_TRAINED_PANEL_AGGREGATE	AFFIRMATIVE	CC_BY_4_0_ATTRIBUTION_REQUIRED	TRAINED_PANEL_AGGREGATE_TABLE		provisional-form:06f2cd50f23c0f032d94f9d5	06f2cd50f23c0f032d94f9d5517913f22d0213e39e44b8a7af07e2bbc2bbe22d	AUTO_ORTHOGRAPHIC	NFKC_CASE_SPACE_PUNCTUATION	0.990000	CASE_SPACING_AND_PUNCTUATION_NORMALIZATION	AUTO_PROVISIONALLY_MAPPED	false	false	true	true	OWNER_CONTROLLED_RESTRICTED_HASH_ONLY_PUBLIC	roasted	LIGHT	publisher:e824ae51310e21850d45c855	professional-descriptor-post50k-extension-20260831	batch7.epmc-jats.v1	batch7.non-coe-trained-panel.v1	PMC8774372#table-4-row-2-sample-562	professional-descriptor-candidate-v3-50k	false
assertion-b7:22a285efc4622369f5821f64	family.pmc8774372_brewed_black_coffee	route.epmc.pmc8774372.brewed-black-coffee	schema.epmc.jats-table.v1	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8774372/fullTextXML	d578fd743c9fb844de976648c008bf89c3d9869e2cfd5703eb713c83f44676ba	PMC8774372#table-4-row-2-sample-187	effective-b7:5dbe262607b0b0b7a91cad93	coffee-b7:5dbe262607b0b0b7a91cad93	PMC8774372 version of record	2022	en	UNREPORTED_SOURCE_METHOD_NOT_IN_ASSERTION_TABLE	5818428b08945d56dfce0f7d4472f2ec8367d629e7f77b4ea6371ea63466d3cb	Table 4 trained-panel aggregate intensity	aa8ad6a6ea5f0b9b393342baa351e283673cf16def275c8d1820f35d196ad2d3	aa8ad6a6ea5f0b9b393342baa351e283673cf16def275c8d1820f35d196ad2d3	aa8ad6a6ea5f0b9b393342baa351e283673cf16def275c8d1820f35d196ad2d3	STRICT_FLAVOR	P2	GOLD	PEER_REVIEWED_TRAINED_PANEL_AGGREGATE	AFFIRMATIVE	CC_BY_4_0_ATTRIBUTION_REQUIRED	TRAINED_PANEL_AGGREGATE_TABLE		provisional-form:06f2cd50f23c0f032d94f9d5	06f2cd50f23c0f032d94f9d5517913f22d0213e39e44b8a7af07e2bbc2bbe22d	AUTO_ORTHOGRAPHIC	NFKC_CASE_SPACE_PUNCTUATION	0.990000	CASE_SPACING_AND_PUNCTUATION_NORMALIZATION	AUTO_PROVISIONALLY_MAPPED	false	false	true	true	OWNER_CONTROLLED_RESTRICTED_HASH_ONLY_PUBLIC	roasted	LIGHT	publisher:e824ae51310e21850d45c855	professional-descriptor-post50k-extension-20260831	batch7.epmc-jats.v1	batch7.non-coe-trained-panel.v1	PMC8774372#table-4-row-2-sample-187	professional-descriptor-candidate-v3-50k	false
