descriptor_assertion_id	source_family_id	source_route_id	route_schema	source_url	source_artifact_sha256	source_locator	effective_record_id	coffee_identity_id	edition_or_release	edition_year	source_language	preparation_service	roast_evidence_sha256_or_state	source_field_label	raw_field_text_sha256	atomic_source_text_sha256	source_native_form_sha256	descriptor_class	evidence_tier	collection_tier	provenance_state	rights_state	rights_basis	publication_layer	judge_observation_id_sha256	provisional_normalized_form_id	provisional_normalized_form_sha256	mapping_status	mapping_method	mapping_confidence	mapping_basis	review_requirement	human_reviewed	model_eligible	counts_as_assertion	counts_as_record_unique_descriptor	source_text_storage_state	publisher_id	extension_batch_id	parser_version	adapter_version	acquisition_cursor	frozen_snapshot_version	frozen_snapshot_member
assertion-b2:ef5e134ad217df69bd999160	family.ace_cup_of_excellence	route.coe.generic-official-sensory-detail	schema.coe.structured-official-sensory-fields.v2	https://farmdirectory.cupofexcellence.org/listing/abiyot-ethiopia-2022/	5e063f8e6bfdb0e6b0defe99fb3659b6fc430d7fcb37ea30af91fa6ac6a0a962	html:item-attr=Overall;index=1	effective-b2:1385447bf707c40feb1d03da	coffee-b2:a8414d9bfe56a0cc1bf869cf	Cup of Excellence 2022	2022	en	CUPPING	UNREPORTED	hash:sha256:715b1458abbee52eb88658bb578f99719f544104718a34de7d9bcea1383c4b34	1899f9d4ff525dda388a06727ab795ff3036282372efe2ef2375801b3d0d7ea5	68ddbd5a6d8179ba30a22bea3c33046e2d742a3d0cf04bf24f55e5964b9f3c2e	68ddbd5a6d8179ba30a22bea3c33046e2d742a3d0cf04bf24f55e5964b9f3c2e	STRICT_FLAVOR	UNRESOLVED	SILVER	OFFICIAL_FIELD_ORIGIN_UNRESOLVED	UNKNOWN	PUBLIC_DISCOVERY_ONLY_NO_MODEL_PERMISSION_CLAIM	GENERIC_ORGANIZER_SENSORY_FIELD		provisional-form:099bbde85d2ab4f33035c0d4	099bbde85d2ab4f33035c0d46c8195e2e9b8c3d6af7c24b1eabcf5bf8afc08ed	AUTO_ORTHOGRAPHIC	NFKC_CASE_SPACE_PUNCTUATION	0.990000	CASE_SPACING_AND_PUNCTUATION_NORMALIZATION	AUTO_PROVISIONALLY_MAPPED	false	false	true	true	OWNER_CONTROLLED_RESTRICTED_HASH_ONLY_PUBLIC	publisher:ce51521ee85097dc9bfca03b	professional-descriptor-post50k-extension-20260831	batch7.professional-descriptor-parser.v1	batch7.manifest-driven-coe-adapter.v1	archive-page=142;detail-index=2;url=https://farmdirectory.cupofexcellence.org/listing/abiyot-ethiopia-2022/	professional-descriptor-candidate-v3-50k	false
assertion-b2:b407f2654350b8977abd5007	family.ace_cup_of_excellence	route.coe.generic-official-sensory-detail	schema.coe.structured-official-sensory-fields.v2	https://farmdirectory.cupofexcellence.org/listing/abiyot-ethiopia-2022/	5e063f8e6bfdb0e6b0defe99fb3659b6fc430d7fcb37ea30af91fa6ac6a0a962	html:item-attr=Overall;index=1	effective-b2:1385447bf707c40feb1d03da	coffee-b2:a8414d9bfe56a0cc1bf869cf	Cup of Excellence 2022	2022	en	CUPPING	UNREPORTED	hash:sha256:715b1458abbee52eb88658bb578f99719f544104718a34de7d9bcea1383c4b34	1899f9d4ff525dda388a06727ab795ff3036282372efe2ef2375801b3d0d7ea5	05af0612360ece1d46dc7891bfe40dd051161f5fb12df61c88f038cde44e60f6	05af0612360ece1d46dc7891bfe40dd051161f5fb12df61c88f038cde44e60f6	STRICT_FLAVOR	UNRESOLVED	SILVER	OFFICIAL_FIELD_ORIGIN_UNRESOLVED	UNKNOWN	PUBLIC_DISCOVERY_ONLY_NO_MODEL_PERMISSION_CLAIM	GENERIC_ORGANIZER_SENSORY_FIELD		provisional-form:c9b82b90ae572c840a7698cf	c9b82b90ae572c840a7698cf0fbbb1d7d554fddcb52266dfc5e84f343e9cddda	AUTO_ORTHOGRAPHIC	NFKC_CASE_SPACE_PUNCTUATION	0.990000	CASE_SPACING_AND_PUNCTUATION_NORMALIZATION	AUTO_PROVISIONALLY_MAPPED	false	false	true	true	OWNER_CONTROLLED_RESTRICTED_HASH_ONLY_PUBLIC	publisher:ce51521ee85097dc9bfca03b	professional-descriptor-post50k-extension-20260831	batch7.professional-descriptor-parser.v1	batch7.manifest-driven-coe-adapter.v1	archive-page=142;detail-index=2;url=https://farmdirectory.cupofexcellence.org/listing/abiyot-ethiopia-2022/	professional-descriptor-candidate-v3-50k	false
assertion-b2:2158b04b8a2d14ebb115dc76	family.ace_cup_of_excellence	route.coe.generic-official-sensory-detail	schema.coe.structured-official-sensory-fields.v2	https://farmdirectory.cupofexcellence.org/listing/abiyot-ethiopia-2022/	5e063f8e6bfdb0e6b0defe99fb3659b6fc430d7fcb37ea30af91fa6ac6a0a962	html:item-attr=Overall;index=1	effective-b2:1385447bf707c40feb1d03da	coffee-b2:a8414d9bfe56a0cc1bf869cf	Cup of Excellence 2022	2022	en	CUPPING	UNREPORTED	hash:sha256:715b1458abbee52eb88658bb578f99719f544104718a34de7d9bcea1383c4b34	1899f9d4ff525dda388a06727ab795ff3036282372efe2ef2375801b3d0d7ea5	abf61b12b0266e8e76b502ff0cdbc55a43bedea98531066d6f7852b1c27d262f	abf61b12b0266e8e76b502ff0cdbc55a43bedea98531066d6f7852b1c27d262f	STRICT_FLAVOR	UNRESOLVED	SILVER	OFFICIAL_FIELD_ORIGIN_UNRESOLVED	UNKNOWN	PUBLIC_DISCOVERY_ONLY_NO_MODEL_PERMISSION_CLAIM	GENERIC_ORGANIZER_SENSORY_FIELD		provisional-form:2daf0e6c79009f9234ed9baa	2daf0e6c79009f9234ed9baa5bb930898e2847810617e118518d88e4d3140a2e	AUTO_ORTHOGRAPHIC	NFKC_CASE_SPACE_PUNCTUATION	0.990000	CASE_SPACING_AND_PUNCTUATION_NORMALIZATION	AUTO_PROVISIONALLY_MAPPED	false	false	true	true	OWNER_CONTROLLED_RESTRICTED_HASH_ONLY_PUBLIC	publisher:ce51521ee85097dc9bfca03b	professional-descriptor-post50k-extension-20260831	batch7.professional-descriptor-parser.v1	batch7.manifest-driven-coe-adapter.v1	archive-page=142;detail-index=2;url=https://farmdirectory.cupofexcellence.org/listing/abiyot-ethiopia-2022/	professional-descriptor-candidate-v3-50k	false
assertion-b2:419b990b2f8b52f6bfe400b9	family.ace_cup_of_excellence	route.coe.generic-official-sensory-detail	schema.coe.structured-official-sensory-fields.v2	https://farmdirectory.cupofexcellence.org/listing/abiyot-ethiopia-2022/	5e063f8e6bfdb0e6b0defe99fb3659b6fc430d7fcb37ea30af91fa6ac6a0a962	html:item-attr=Overall;index=1	effective-b2:1385447bf707c40feb1d03da	coffee-b2:a8414d9bfe56a0cc1bf869cf	Cup of Excellence 2022	2022	en	CUPPING	UNREPORTED	hash:sha256:715b1458abbee52eb88658bb578f99719f544104718a34de7d9bcea1383c4b34	1899f9d4ff525dda388a06727ab795ff3036282372efe2ef2375801b3d0d7ea5	376cbef9e97400966096be02347bc8d04439eb7cae0f4a5f90d7ad3d16388329	376cbef9e97400966096be02347bc8d04439eb7cae0f4a5f90d7ad3d16388329	STRICT_FLAVOR	UNRESOLVED	SILVER	OFFICIAL_FIELD_ORIGIN_UNRESOLVED	UNKNOWN	PUBLIC_DISCOVERY_ONLY_NO_MODEL_PERMISSION_CLAIM	GENERIC_ORGANIZER_SENSORY_FIELD		provisional-form:0a2562424d97b71d9d8acc0e	0a2562424d97b71d9d8acc0e12e9f73c6849191ef7792b096c16e59c7171c68a	AUTO_ORTHOGRAPHIC	NFKC_CASE_SPACE_PUNCTUATION	0.990000	CASE_SPACING_AND_PUNCTUATION_NORMALIZATION	AUTO_PROVISIONALLY_MAPPED	false	false	true	true	OWNER_CONTROLLED_RESTRICTED_HASH_ONLY_PUBLIC	publisher:ce51521ee85097dc9bfca03b	professional-descriptor-post50k-extension-20260831	batch7.professional-descriptor-parser.v1	batch7.manifest-driven-coe-adapter.v1	archive-page=142;detail-index=2;url=https://farmdirectory.cupofexcellence.org/listing/abiyot-ethiopia-2022/	professional-descriptor-candidate-v3-50k	false
assertion-b2:1e1c482ed5e19d6f77ebc315	family.ace_cup_of_excellence	route.coe.generic-official-sensory-detail	schema.coe.structured-official-sensory-fields.v2	https://farmdirectory.cupofexcellence.org/listing/abiyot-ethiopia-2022/	5e063f8e6bfdb0e6b0defe99fb3659b6fc430d7fcb37ea30af91fa6ac6a0a962	html:item-attr=Overall;index=1	effective-b2:1385447bf707c40feb1d03da	coffee-b2:a8414d9bfe56a0cc1bf869cf	Cup of Excellence 2022	2022	en	CUPPING	UNREPORTED	hash:sha256:715b1458abbee52eb88658bb578f99719f544104718a34de7d9bcea1383c4b34	1899f9d4ff525dda388a06727ab795ff3036282372efe2ef2375801b3d0d7ea5	5137c8760c9411860cdc0eccf0e2e3ae66cc0379c45c89104b477351d3cce57f	5137c8760c9411860cdc0eccf0e2e3ae66cc0379c45c89104b477351d3cce57f	BROAD_SENSORY	UNRESOLVED	SILVER	OFFICIAL_FIELD_ORIGIN_UNRESOLVED	UNKNOWN	PUBLIC_DISCOVERY_ONLY_NO_MODEL_PERMISSION_CLAIM	GENERIC_ORGANIZER_SENSORY_FIELD		provisional-form:3b066804f6d1d077173cfe4d	3b066804f6d1d077173cfe4d06002e6a61e6f21c2b2e648417962115f1afcd8e	AUTO_ORTHOGRAPHIC	NFKC_CASE_SPACE_PUNCTUATION	0.990000	CASE_SPACING_AND_PUNCTUATION_NORMALIZATION	AUTO_PROVISIONALLY_MAPPED	false	false	true	true	OWNER_CONTROLLED_RESTRICTED_HASH_ONLY_PUBLIC	publisher:ce51521ee85097dc9bfca03b	professional-descriptor-post50k-extension-20260831	batch7.professional-descriptor-parser.v1	batch7.manifest-driven-coe-adapter.v1	archive-page=142;detail-index=2;url=https://farmdirectory.cupofexcellence.org/listing/abiyot-ethiopia-2022/	professional-descriptor-candidate-v3-50k	false
assertion-b2:4588039fbe8fcd1805005650	family.ace_cup_of_excellence	route.coe.generic-official-sensory-detail	schema.coe.structured-official-sensory-fields.v2	https://farmdirectory.cupofexcellence.org/listing/abiyot-ethiopia-2022/	5e063f8e6bfdb0e6b0defe99fb3659b6fc430d7fcb37ea30af91fa6ac6a0a962	html:item-attr=Overall;index=1	effective-b2:1385447bf707c40feb1d03da	coffee-b2:a8414d9bfe56a0cc1bf869cf	Cup of Excellence 2022	2022	en	CUPPING	UNREPORTED	hash:sha256:715b1458abbee52eb88658bb578f99719f544104718a34de7d9bcea1383c4b34	1899f9d4ff525dda388a06727ab795ff3036282372efe2ef2375801b3d0d7ea5	9fb3e81c771f313064353f1159a9de3f6bd7c436922247c11fe609562848595f	9fb3e81c771f313064353f1159a9de3f6bd7c436922247c11fe609562848595f	BROAD_SENSORY	UNRESOLVED	SILVER	OFFICIAL_FIELD_ORIGIN_UNRESOLVED	UNKNOWN	PUBLIC_DISCOVERY_ONLY_NO_MODEL_PERMISSION_CLAIM	GENERIC_ORGANIZER_SENSORY_FIELD		provisional-form:34eff3154477afb1a3ee6925	34eff3154477afb1a3ee6925c09340b2df092050cbe9ed82ffcb3ee9a13a8a8a	AUTO_ORTHOGRAPHIC	NFKC_CASE_SPACE_PUNCTUATION	0.990000	CASE_SPACING_AND_PUNCTUATION_NORMALIZATION	AUTO_PROVISIONALLY_MAPPED	false	false	true	true	OWNER_CONTROLLED_RESTRICTED_HASH_ONLY_PUBLIC	publisher:ce51521ee85097dc9bfca03b	professional-descriptor-post50k-extension-20260831	batch7.professional-descriptor-parser.v1	batch7.manifest-driven-coe-adapter.v1	archive-page=142;detail-index=2;url=https://farmdirectory.cupofexcellence.org/listing/abiyot-ethiopia-2022/	professional-descriptor-candidate-v3-50k	false
assertion-b2:47535cae30e1bf6882022ef3	family.ace_cup_of_excellence	route.coe.generic-official-sensory-detail	schema.coe.structured-official-sensory-fields.v2	https://farmdirectory.cupofexcellence.org/listing/abiyot-ethiopia-2022/	5e063f8e6bfdb0e6b0defe99fb3659b6fc430d7fcb37ea30af91fa6ac6a0a962	html:item-attr=Overall;index=1	effective-b2:1385447bf707c40feb1d03da	coffee-b2:a8414d9bfe56a0cc1bf869cf	Cup of Excellence 2022	2022	en	CUPPING	UNREPORTED	hash:sha256:715b1458abbee52eb88658bb578f99719f544104718a34de7d9bcea1383c4b34	1899f9d4ff525dda388a06727ab795ff3036282372efe2ef2375801b3d0d7ea5	469758c8493df0167fac509322f23d7062182280aa70e1c367479f45c5c7fd4e	469758c8493df0167fac509322f23d7062182280aa70e1c367479f45c5c7fd4e	STRICT_FLAVOR	UNRESOLVED	SILVER	OFFICIAL_FIELD_ORIGIN_UNRESOLVED	UNKNOWN	PUBLIC_DISCOVERY_ONLY_NO_MODEL_PERMISSION_CLAIM	GENERIC_ORGANIZER_SENSORY_FIELD		provisional-form:3ae755cc6122a54cc873e3ba	3ae755cc6122a54cc873e3ba2bd8703883b4a711d1af2707ef00f2c2c963ee8d	AUTO_ORTHOGRAPHIC	NFKC_CASE_SPACE_PUNCTUATION	0.990000	CASE_SPACING_AND_PUNCTUATION_NORMALIZATION	AUTO_PROVISIONALLY_MAPPED	false	false	true	true	OWNER_CONTROLLED_RESTRICTED_HASH_ONLY_PUBLIC	publisher:ce51521ee85097dc9bfca03b	professional-descriptor-post50k-extension-20260831	batch7.professional-descriptor-parser.v1	batch7.manifest-driven-coe-adapter.v1	archive-page=142;detail-index=2;url=https://farmdirectory.cupofexcellence.org/listing/abiyot-ethiopia-2022/	professional-descriptor-candidate-v3-50k	false
assertion-b2:00f80dec9273e72eb1a14591	family.ace_cup_of_excellence	route.coe.generic-official-sensory-detail	schema.coe.structured-official-sensory-fields.v2	https://farmdirectory.cupofexcellence.org/listing/abiyot-ethiopia-2022/	5e063f8e6bfdb0e6b0defe99fb3659b6fc430d7fcb37ea30af91fa6ac6a0a962	html:item-attr=Aroma / Flavor;index=2	effective-b2:1385447bf707c40feb1d03da	coffee-b2:a8414d9bfe56a0cc1bf869cf	Cup of Excellence 2022	2022	en	CUPPING	UNREPORTED	hash:sha256:6ddda748d327ba9ec1a784d1d8f705180733aa3d78dce9d5ce8d7b802c7e4011	ba821452e237c19d721003ed6df91214dfbfcf3d4129832fa6f2a5ae27952887	abf61b12b0266e8e76b502ff0cdbc55a43bedea98531066d6f7852b1c27d262f	abf61b12b0266e8e76b502ff0cdbc55a43bedea98531066d6f7852b1c27d262f	STRICT_FLAVOR	UNRESOLVED	SILVER	OFFICIAL_FIELD_ORIGIN_UNRESOLVED	UNKNOWN	PUBLIC_DISCOVERY_ONLY_NO_MODEL_PERMISSION_CLAIM	GENERIC_ORGANIZER_SENSORY_FIELD		provisional-form:2daf0e6c79009f9234ed9baa	2daf0e6c79009f9234ed9baa5bb930898e2847810617e118518d88e4d3140a2e	AUTO_ORTHOGRAPHIC	NFKC_CASE_SPACE_PUNCTUATION	0.990000	CASE_SPACING_AND_PUNCTUATION_NORMALIZATION	AUTO_PROVISIONALLY_MAPPED	false	false	true	false	OWNER_CONTROLLED_RESTRICTED_HASH_ONLY_PUBLIC	publisher:ce51521ee85097dc9bfca03b	professional-descriptor-post50k-extension-20260831	batch7.professional-descriptor-parser.v1	batch7.manifest-driven-coe-adapter.v1	archive-page=142;detail-index=2;url=https://farmdirectory.cupofexcellence.org/listing/abiyot-ethiopia-2022/	professional-descriptor-candidate-v3-50k	false
assertion-b2:068055e8dd84cdb7dd9c485a	family.ace_cup_of_excellence	route.coe.generic-official-sensory-detail	schema.coe.structured-official-sensory-fields.v2	https://farmdirectory.cupofexcellence.org/listing/abiyot-ethiopia-2022/	5e063f8e6bfdb0e6b0defe99fb3659b6fc430d7fcb37ea30af91fa6ac6a0a962	html:item-attr=Aroma / Flavor;index=2	effective-b2:1385447bf707c40feb1d03da	coffee-b2:a8414d9bfe56a0cc1bf869cf	Cup of Excellence 2022	2022	en	CUPPING	UNREPORTED	hash:sha256:6ddda748d327ba9ec1a784d1d8f705180733aa3d78dce9d5ce8d7b802c7e4011	ba821452e237c19d721003ed6df91214dfbfcf3d4129832fa6f2a5ae27952887	ef2a28f03f6eafb0fe030794be2c6714d743f2b28e13b40d022393a0debfaa9f	ef2a28f03f6eafb0fe030794be2c6714d743f2b28e13b40d022393a0debfaa9f	STRICT_FLAVOR	UNRESOLVED	SILVER	OFFICIAL_FIELD_ORIGIN_UNRESOLVED	UNKNOWN	PUBLIC_DISCOVERY_ONLY_NO_MODEL_PERMISSION_CLAIM	GENERIC_ORGANIZER_SENSORY_FIELD		provisional-form:73cce42f1f0e9099688b8eb6	73cce42f1f0e9099688b8eb6294f7a9963c937a8e47315ccb759f499ada648d9	AUTO_ORTHOGRAPHIC	NFKC_CASE_SPACE_PUNCTUATION	0.990000	CASE_SPACING_AND_PUNCTUATION_NORMALIZATION	AUTO_PROVISIONALLY_MAPPED	false	false	true	true	OWNER_CONTROLLED_RESTRICTED_HASH_ONLY_PUBLIC	publisher:ce51521ee85097dc9bfca03b	professional-descriptor-post50k-extension-20260831	batch7.professional-descriptor-parser.v1	batch7.manifest-driven-coe-adapter.v1	archive-page=142;detail-index=2;url=https://farmdirectory.cupofexcellence.org/listing/abiyot-ethiopia-2022/	professional-descriptor-candidate-v3-50k	false
assertion-b2:f79c1578b20e25af0a0d44e7	family.ace_cup_of_excellence	route.coe.generic-official-sensory-detail	schema.coe.structured-official-sensory-fields.v2	https://farmdirectory.cupofexcellence.org/listing/abiyot-ethiopia-2022/	5e063f8e6bfdb0e6b0defe99fb3659b6fc430d7fcb37ea30af91fa6ac6a0a962	html:item-attr=Aroma / Flavor;index=2	effective-b2:1385447bf707c40feb1d03da	coffee-b2:a8414d9bfe56a0cc1bf869cf	Cup of Excellence 2022	2022	en	CUPPING	UNREPORTED	hash:sha256:6ddda748d327ba9ec1a784d1d8f705180733aa3d78dce9d5ce8d7b802c7e4011	ba821452e237c19d721003ed6df91214dfbfcf3d4129832fa6f2a5ae27952887	0187cf006f58f6f8aa69b24023ca18894ba5384582b76eb54a69ad1e46402544	0187cf006f58f6f8aa69b24023ca18894ba5384582b76eb54a69ad1e46402544	STRICT_FLAVOR	UNRESOLVED	SILVER	OFFICIAL_FIELD_ORIGIN_UNRESOLVED	UNKNOWN	PUBLIC_DISCOVERY_ONLY_NO_MODEL_PERMISSION_CLAIM	GENERIC_ORGANIZER_SENSORY_FIELD		provisional-form:fc7647bee720ef94013a9ff0	fc7647bee720ef94013a9ff03d93d7bdc231eaa072f7312e27558fecf5dde52c	AUTO_ORTHOGRAPHIC	NFKC_CASE_SPACE_PUNCTUATION	0.990000	CASE_SPACING_AND_PUNCTUATION_NORMALIZATION	AUTO_PROVISIONALLY_MAPPED	false	false	true	true	OWNER_CONTROLLED_RESTRICTED_HASH_ONLY_PUBLIC	publisher:ce51521ee85097dc9bfca03b	professional-descriptor-post50k-extension-20260831	batch7.professional-descriptor-parser.v1	batch7.manifest-driven-coe-adapter.v1	archive-page=142;detail-index=2;url=https://farmdirectory.cupofexcellence.org/listing/abiyot-ethiopia-2022/	professional-descriptor-candidate-v3-50k	false
