coverage_row_id	row_kind	preparation_family_key	roast_code	dimension_name	dimension_value	direct_professional_record_count	direct_context_evidence_count	descriptor_concept_count	source_family_count	structured_contrast_record_count	positive_only_record_count	review_complete_relation_count	review_required_relation_count	rights_eligible_record_count	main_output_capable_concept_count	secondary_output_capable_concept_count	question_axis_coverage	prior_status	key_gap	acquisition_priority	lineage_paths
cell:preparation.family.filter_percolation:extremely_light	C0_C1_CELL	preparation.family.filter_percolation	extremely_light			0	0	2	1	0	0	0	0	0	16	16	7	weak	ZERO_REVIEWED_C1_MAPPING_PREVENTS_JOINT_CELL_EVIDENCE	MEDIUM	db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
cell:preparation.family.filter_percolation:light	C0_C1_CELL	preparation.family.filter_percolation	light			0	0	2	1	0	0	0	0	0	16	16	7	weak	ZERO_REVIEWED_C1_MAPPING_PREVENTS_JOINT_CELL_EVIDENCE	MEDIUM	db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
cell:preparation.family.filter_percolation:medium_light	C0_C1_CELL	preparation.family.filter_percolation	medium_light			0	0	2	1	0	0	0	0	0	16	16	7	weak	ZERO_REVIEWED_C1_MAPPING_PREVENTS_JOINT_CELL_EVIDENCE	MEDIUM	db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
cell:preparation.family.filter_percolation:medium	C0_C1_CELL	preparation.family.filter_percolation	medium			0	0	2	1	0	0	0	0	0	16	16	7	weak	ZERO_REVIEWED_C1_MAPPING_PREVENTS_JOINT_CELL_EVIDENCE	MEDIUM	db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
cell:preparation.family.filter_percolation:medium_dark	C0_C1_CELL	preparation.family.filter_percolation	medium_dark			0	0	2	1	0	0	0	0	0	16	16	7	weak	ZERO_REVIEWED_C1_MAPPING_PREVENTS_JOINT_CELL_EVIDENCE	MEDIUM	db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
cell:preparation.family.filter_percolation:dark	C0_C1_CELL	preparation.family.filter_percolation	dark			0	0	2	1	0	0	0	0	0	16	16	7	weak	ZERO_REVIEWED_C1_MAPPING_PREVENTS_JOINT_CELL_EVIDENCE	MEDIUM	db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
cell:preparation.family.filter_percolation:extremely_dark	C0_C1_CELL	preparation.family.filter_percolation	extremely_dark			0	0	2	1	0	0	0	0	0	16	16	7	weak	ZERO_REVIEWED_C1_MAPPING_PREVENTS_JOINT_CELL_EVIDENCE	MEDIUM	db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
cell:preparation.family.immersion:extremely_light	C0_C1_CELL	preparation.family.immersion	extremely_light			0	0	0	0	0	0	0	0	0	16	16	7	neutral	ZERO_REVIEWED_C1_MAPPING_PREVENTS_JOINT_CELL_EVIDENCE	HIGH	db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
cell:preparation.family.immersion:light	C0_C1_CELL	preparation.family.immersion	light			0	0	0	0	0	0	0	0	0	16	16	7	neutral	ZERO_REVIEWED_C1_MAPPING_PREVENTS_JOINT_CELL_EVIDENCE	HIGH	db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
cell:preparation.family.immersion:medium_light	C0_C1_CELL	preparation.family.immersion	medium_light			0	0	0	0	0	0	0	0	0	16	16	7	neutral	ZERO_REVIEWED_C1_MAPPING_PREVENTS_JOINT_CELL_EVIDENCE	HIGH	db/data/round3m/C0_C1_EVIDENCE_RECEIPT.json|db/data/round3h/batch1/vezzulli_2022_table2_sensory_medians.tsv
