source_surface_sha256	reviewer_one_decision_code	reviewer_two_decision_code	consensus_decision_code	structural_gate_code	final_admission_code	admitted_language_tag_code	exclusion_reason_code
0008ee29cfb90ef433b1fd33a6b1d94b37c633ded264444755f9273d3eb318b5	ENGLISH_TASTING_LANGUAGE	ENGLISH_TASTING_LANGUAGE	ENGLISH_TASTING_LANGUAGE	PASS_CONCISE_FRAGMENT	ADMIT_ENGLISH_TASTING_LANGUAGE	en	
000aa664a0e5e88995e5a764a72db3c60acacbe53bb524198451eb9fe243f2ed	ENGLISH_TASTING_LANGUAGE	ENGLISH_TASTING_LANGUAGE	ENGLISH_TASTING_LANGUAGE	PASS_CONCISE_FRAGMENT	ADMIT_ENGLISH_TASTING_LANGUAGE	en	
00111bc4ab7942585f4da1c5cd7b9d6702b0d8ee30167bd7396db77a436d2521	ENGLISH_TASTING_LANGUAGE	ENGLISH_TASTING_LANGUAGE	ENGLISH_TASTING_LANGUAGE	PASS_CONCISE_FRAGMENT	ADMIT_ENGLISH_TASTING_LANGUAGE	en	
0013be7f217a4ef7442adccc63283a45c39ec3d98ddf32b801f34172fabe8148	NARRATIVE_OR_NON_DESCRIPTOR	ENGLISH_TASTING_LANGUAGE	DISAGREEMENT	PASS_CONCISE_FRAGMENT	HASH_ONLY_REVIEW_CONSENSUS		dual_review_disagreement
0015afa10932b7ab4c7bc54e4b97a9fd83de019943004c01310a2f6473130da3	ENGLISH_TASTING_LANGUAGE	ENGLISH_TASTING_LANGUAGE	ENGLISH_TASTING_LANGUAGE	PASS_CONCISE_FRAGMENT	ADMIT_ENGLISH_TASTING_LANGUAGE	en	
002fabc2076a4a2310bcf4504248ab0a6d1eb99e34b36e705ac20bf948f7bc50	ENGLISH_TASTING_LANGUAGE	ENGLISH_TASTING_LANGUAGE	ENGLISH_TASTING_LANGUAGE	PASS_CONCISE_FRAGMENT	ADMIT_ENGLISH_TASTING_LANGUAGE	en	
0052719e8adbdad5194f58d5e6a9098ef95865076b8421bab1311a309f197f94	ENGLISH_TASTING_LANGUAGE	ENGLISH_TASTING_LANGUAGE	ENGLISH_TASTING_LANGUAGE	PASS_CONCISE_FRAGMENT	ADMIT_ENGLISH_TASTING_LANGUAGE	en	
005ae224f6b9746da69fd54cb2bc684e0d52925bc1f63abde8a951ebbb63684b	ENGLISH_TASTING_LANGUAGE	ENGLISH_TASTING_LANGUAGE	ENGLISH_TASTING_LANGUAGE	PASS_CONCISE_FRAGMENT	ADMIT_ENGLISH_TASTING_LANGUAGE	en	
0060643d0af244c0a441929b4dc0b147962d7c4f3b91493ee1885f6ac5d0f62a	ENGLISH_TASTING_LANGUAGE	ENGLISH_TASTING_LANGUAGE	ENGLISH_TASTING_LANGUAGE	PASS_CONCISE_FRAGMENT	ADMIT_ENGLISH_TASTING_LANGUAGE	en	
008dacb6d1e85bd8c0ae9661c4472810ef75537f690dd75d77fc74ca62f78fec	ENGLISH_TASTING_LANGUAGE	ENGLISH_TASTING_LANGUAGE	ENGLISH_TASTING_LANGUAGE	PASS_CONCISE_FRAGMENT	ADMIT_ENGLISH_TASTING_LANGUAGE	en	
009620afea50eeaa362a3866429e657e42524de35c63185c1524bf5325921a1e	ENGLISH_TASTING_LANGUAGE	ENGLISH_TASTING_LANGUAGE	ENGLISH_TASTING_LANGUAGE	PASS_CONCISE_FRAGMENT	ADMIT_ENGLISH_TASTING_LANGUAGE	en	
009af819b8ec30eb4c4f5e7f3d0d514aa915279d8315729fc9a08eaecb61a3f0	ENGLISH_TASTING_LANGUAGE	NARRATIVE_OR_NON_DESCRIPTOR	DISAGREEMENT	REJECT_GT_8_WORD_TOKENS	HASH_ONLY_REVIEW_CONSENSUS		dual_review_disagreement
00d2064db061fbc29e714b94dd81e903c98af4b411b58cd303e0ecd2753791a9	ENGLISH_TASTING_LANGUAGE	ENGLISH_TASTING_LANGUAGE	ENGLISH_TASTING_LANGUAGE	PASS_CONCISE_FRAGMENT	ADMIT_ENGLISH_TASTING_LANGUAGE	en	
00e9e032c730e844bfd4b87e026e4b05de2738c01ef2d02aeb7291f11b6c901e	ENGLISH_TASTING_LANGUAGE	ENGLISH_TASTING_LANGUAGE	ENGLISH_TASTING_LANGUAGE	PASS_CONCISE_FRAGMENT	ADMIT_ENGLISH_TASTING_LANGUAGE	en	
0117d084ab4fb36ae0ab9b49aa577e30b3808570b9339c2c7c7afe2c2b095303	NARRATIVE_OR_NON_DESCRIPTOR	ENGLISH_TASTING_LANGUAGE	DISAGREEMENT	REJECT_SENTENCE_PUNCTUATION	HASH_ONLY_REVIEW_CONSENSUS		dual_review_disagreement
011edb9c7d86cde11ace21d944a353b871e59013c95834d63d9532cb81748015	NON_ENGLISH	NON_ENGLISH	NON_ENGLISH	PASS_CONCISE_FRAGMENT	HASH_ONLY_REVIEW_CONSENSUS		dual_review_non_english
0127808e6450d84e1dba7de1dbdf406c525d7da1134c10e5302eef9970d94e0f	ENGLISH_TASTING_LANGUAGE	ENGLISH_TASTING_LANGUAGE	ENGLISH_TASTING_LANGUAGE	PASS_CONCISE_FRAGMENT	ADMIT_ENGLISH_TASTING_LANGUAGE	en	
0130f597fb5db93eef3de322e6eff15fd3060e971cac5d6e17172fd05a076977	ENGLISH_TASTING_LANGUAGE	ENGLISH_TASTING_LANGUAGE	ENGLISH_TASTING_LANGUAGE	PASS_CONCISE_FRAGMENT	ADMIT_ENGLISH_TASTING_LANGUAGE	en	
01335562577cfec2df25b26051fd104667797abd5485700917cb4f81cac08b97	ENGLISH_TASTING_LANGUAGE	ENGLISH_TASTING_LANGUAGE	ENGLISH_TASTING_LANGUAGE	REJECT_SENTENCE_PUNCTUATION	HASH_ONLY_STRUCTURAL_PROSE_GATE		structural_gate_sentence_punctuation
013b151e9e5fd3d436c4b464f57257cbcca3224248d003f8b5beb6a1b918e44e	ENGLISH_TASTING_LANGUAGE	ENGLISH_TASTING_LANGUAGE	ENGLISH_TASTING_LANGUAGE	PASS_CONCISE_FRAGMENT	ADMIT_ENGLISH_TASTING_LANGUAGE	en	
0161869efd507ef85ce12f19c104c036a463080179c0c50a5aef23a6a0d63029	ENGLISH_TASTING_LANGUAGE	ENGLISH_TASTING_LANGUAGE	ENGLISH_TASTING_LANGUAGE	PASS_CONCISE_FRAGMENT	ADMIT_ENGLISH_TASTING_LANGUAGE	en	
0171777756fd5e27d8da4981425d939f3fd18b0aa3178bac6cfb765b40d53e86	NON_ENGLISH	NON_ENGLISH	NON_ENGLISH	PASS_CONCISE_FRAGMENT	HASH_ONLY_REVIEW_CONSENSUS		dual_review_non_english
017979e8299034d8c481af1f282eb32af0ca7e39553664ba27289257b01d49c1	ENGLISH_TASTING_LANGUAGE	ENGLISH_TASTING_LANGUAGE	ENGLISH_TASTING_LANGUAGE	PASS_CONCISE_FRAGMENT	ADMIT_ENGLISH_TASTING_LANGUAGE	en	
0187cf006f58f6f8aa69b24023ca18894ba5384582b76eb54a69ad1e46402544	ENGLISH_TASTING_LANGUAGE	ENGLISH_TASTING_LANGUAGE	ENGLISH_TASTING_LANGUAGE	PASS_CONCISE_FRAGMENT	ADMIT_ENGLISH_TASTING_LANGUAGE	en	
019e4f799cf0a686c3183f153d7e709a42168ec1c476dfc4e773ddd7aeaf85d9	ENGLISH_TASTING_LANGUAGE	NARRATIVE_OR_NON_DESCRIPTOR	DISAGREEMENT	REJECT_PERSONAL_PRONOUN_OR_FINITE_AUXILIARY	HASH_ONLY_REVIEW_CONSENSUS		dual_review_disagreement
01e7c30f7fec479d601b6df8751fece184fdca5327204120f3a5ca0934f98cc5	ENGLISH_TASTING_LANGUAGE	ENGLISH_TASTING_LANGUAGE	ENGLISH_TASTING_LANGUAGE	PASS_CONCISE_FRAGMENT	ADMIT_ENGLISH_TASTING_LANGUAGE	en	
01e9268679baae7838b28ad187673580c2e4a5202573be5a9dd869e791a5dcc5	ENGLISH_TASTING_LANGUAGE	ENGLISH_TASTING_LANGUAGE	ENGLISH_TASTING_LANGUAGE	REJECT_SENTENCE_PUNCTUATION	HASH_ONLY_STRUCTURAL_PROSE_GATE		structural_gate_sentence_punctuation
01fbf05f9bd19cafc73227a628babd8be9d38834296fe27b3ccb24f6b1cfba29	ENGLISH_TASTING_LANGUAGE	ENGLISH_TASTING_LANGUAGE	ENGLISH_TASTING_LANGUAGE	PASS_CONCISE_FRAGMENT	ADMIT_ENGLISH_TASTING_LANGUAGE	en	
028665f6aafe6bad860e2e4a94a34e3d09723e4ec552b8b039759f78007e1127	NARRATIVE_OR_NON_DESCRIPTOR	ENGLISH_TASTING_LANGUAGE	DISAGREEMENT	PASS_CONCISE_FRAGMENT	HASH_ONLY_REVIEW_CONSENSUS		dual_review_disagreement
029f953541799a7d36b63671f84e8a80e62b898f70c9edf6ec7e3de48f4a1679	ENGLISH_TASTING_LANGUAGE	ENGLISH_TASTING_LANGUAGE	ENGLISH_TASTING_LANGUAGE	PASS_CONCISE_FRAGMENT	ADMIT_ENGLISH_TASTING_LANGUAGE	en	
02d4447755c25e240b33cf60c121c6356fc3ad2f030885f4e0ec654a4daf0413	ENGLISH_TASTING_LANGUAGE	ENGLISH_TASTING_LANGUAGE	ENGLISH_TASTING_LANGUAGE	PASS_CONCISE_FRAGMENT	ADMIT_ENGLISH_TASTING_LANGUAGE	en	
02e3b9da7faa11c1e385d16de0c6c1c04a690463d9a48ca5dab512cd4f99b054	NARRATIVE_OR_NON_DESCRIPTOR	NARRATIVE_OR_NON_DESCRIPTOR	NARRATIVE_OR_NON_DESCRIPTOR	PASS_CONCISE_FRAGMENT	HASH_ONLY_REVIEW_CONSENSUS		dual_review_narrative_or_non_descriptor
02eb21b8f1a1700cbcfda3385827a4d4c09b30f18b94c6c06ec28347b4463ec3	NON_ENGLISH	NON_ENGLISH	NON_ENGLISH	PASS_CONCISE_FRAGMENT	HASH_ONLY_REVIEW_CONSENSUS		dual_review_non_english
