duplicate_review_key	earlier_document_key	later_document_key	duplicate_match_basis_code	duplicate_review_decision_code	reviewed_at	rationale
duplicate_review.92b11e4cd835e170357b2e34415dc91d16326cee9edc3ae2cb6f06ad148d9f5a	document.firstbloom.release_4119	document.firstbloom.release_1142	publisher_product_key	distinct	2026-08-24T00:00:00+00:00	Distinct Firstbloom release identifiers for one stable product are retained as historical release observations.
duplicate_review.217746023655ca644a0070a8f07e34ef9b98c15cc98bceae537b87e1844aeb8b	document.firstbloom.release_612	document.firstbloom.release_4681	publisher_product_key	distinct	2026-08-24T00:00:00+00:00	Distinct Firstbloom release identifiers for one stable product are retained as historical release observations.
duplicate_review.f76cf88097ce971a37f760998d904bf343775732d38eabf042dbd9da05447383	document.firstbloom.release_308	document.firstbloom.release_2903	publisher_product_key	distinct	2026-08-24T00:00:00+00:00	Distinct Firstbloom release identifiers for one stable product are retained as historical release observations.
duplicate_review.5a6c4dbe78f2632d124d55276a8991dd7cf1fb3a382e409dc17f9cb17ede80f9	document.firstbloom.release_308	document.firstbloom.release_4201	publisher_product_key	distinct	2026-08-24T00:00:00+00:00	Distinct Firstbloom release identifiers for one stable product are retained as historical release observations.
duplicate_review.3040bc880830d6d7b21abeffc35a8ba614c43458fc7c3d83b419e9618631a058	document.firstbloom.release_4260	document.firstbloom.release_786	publisher_product_key	distinct	2026-08-24T00:00:00+00:00	Distinct Firstbloom release identifiers for one stable product are retained as historical release observations.
duplicate_review.6241556f0f8fe384479f7c507ecd92c667e9ffbef7155969f2c0bc9d5b2b682f	document.firstbloom.release_451	document.firstbloom.release_447	content_hash	distinct	2026-08-24T00:00:00+00:00	Distinct Firstbloom release identifiers are retained; matching tasting-note content alone does not establish a duplicate document.
duplicate_review.3b7d215de881bec7a0d4eab81df75e1a8c1edd44541a830e3b8f6ee88428474b	document.firstbloom.release_416	document.firstbloom.release_949	content_hash	distinct	2026-08-24T00:00:00+00:00	Distinct Firstbloom release identifiers are retained; matching tasting-note content alone does not establish a duplicate document.
duplicate_review.9a4e867e89625d8fddb4143593ce2f5ad5563361f4a1ba1a6c78464717e0c3db	document.firstbloom.release_416	document.firstbloom.release_1654	publisher_product_key	distinct	2026-08-24T00:00:00+00:00	Distinct Firstbloom release identifiers for one stable product are retained as historical release observations.
duplicate_review.eb90af0100b25aa0bb216009a0f00e16be2ab4cc31448860176f4e6e4ada20fc	document.firstbloom.release_515	document.firstbloom.release_2227	publisher_product_key	distinct	2026-08-24T00:00:00+00:00	Distinct Firstbloom release identifiers for one stable product are retained as historical release observations.
duplicate_review.6b95ebcb296af11db96603b16d455b8207a9ef74205e8a42fae05f29af02115c	document.firstbloom.release_3653	document.firstbloom.release_1489	publisher_product_key	distinct	2026-08-24T00:00:00+00:00	Distinct Firstbloom release identifiers for one stable product are retained as historical release observations.
duplicate_review.51947550db7a84bb6d74b1ecd12431af8ff71f335933969d94369a07f93947f2	document.firstbloom.release_1185	document.firstbloom.release_3629	publisher_product_key	distinct	2026-08-24T00:00:00+00:00	Distinct Firstbloom release identifiers for one stable product are retained as historical release observations.
duplicate_review.96b79ba867360bc12326088f806e375946d0c9d0cf34aea53592f1f9a61662c3	document.firstbloom.release_2015	document.firstbloom.release_1724	content_hash	distinct	2026-08-24T00:00:00+00:00	Distinct Firstbloom release identifiers are retained; matching tasting-note content alone does not establish a duplicate document.
duplicate_review.ab5acee593697704c5ad41eaf77973b02b18b13916c8e9e1be73f15bdd51ca5b	document.firstbloom.release_2151	document.firstbloom.release_2271	content_hash	distinct	2026-08-24T00:00:00+00:00	Distinct Firstbloom release identifiers are retained; matching tasting-note content alone does not establish a duplicate document.
duplicate_review.1b5c33dcbe8d4f4af59a7a4c19f1b33b2a4b1324a60efafba4021d9cdfefe60e	document.firstbloom.release_4601	document.firstbloom.release_1896	publisher_product_key	distinct	2026-08-24T00:00:00+00:00	Distinct Firstbloom release identifiers for one stable product are retained as historical release observations.
duplicate_review.685280e24b9ab57bccfac909ad7da1c4d2e88953ff1fd4d89c173e4f0f93bdd9	document.firstbloom.release_4601	document.firstbloom.release_3513	publisher_product_key	distinct	2026-08-24T00:00:00+00:00	Distinct Firstbloom release identifiers for one stable product are retained as historical release observations.
duplicate_review.68bebee01d567c35a4bb3d073d7e7a21dd6c96650c41b94a8072f44fca30b1e7	document.firstbloom.release_2138	document.firstbloom.release_2139	content_hash	distinct	2026-08-24T00:00:00+00:00	Distinct Firstbloom release identifiers are retained; matching tasting-note content alone does not establish a duplicate document.
duplicate_review.b7e1fa1d2a3f6085b24e6d0f59be6978ede0e9f159a303771a7a37549e4f8aa9	document.firstbloom.release_2619	document.firstbloom.release_3913	publisher_product_key	distinct	2026-08-24T00:00:00+00:00	Distinct Firstbloom release identifiers for one stable product are retained as historical release observations.
duplicate_review.9faaa9b2deddc141e88534eadfbf504a812ef1ba6711ec53081a32c659737f8e	document.firstbloom.release_3978	document.firstbloom.release_2581	publisher_product_key	distinct	2026-08-24T00:00:00+00:00	Distinct Firstbloom release identifiers for one stable product are retained as historical release observations.
duplicate_review.fa655900e46cd1621849300cc53860ef43d094b833b577b41cfc94de1e5c5c17	document.firstbloom.release_4592	document.firstbloom.release_2943	publisher_product_key	distinct	2026-08-24T00:00:00+00:00	Distinct Firstbloom release identifiers for one stable product are retained as historical release observations.
duplicate_review.ac1efd1c25853b0860022f8a9b310822e8655b164df14c98719e2ebac9f41427	document.firstbloom.release_4026	document.firstbloom.release_4025	content_hash	distinct	2026-08-24T00:00:00+00:00	Distinct Firstbloom release identifiers are retained; matching tasting-note content alone does not establish a duplicate document.
duplicate_review.6f4f4f96d07752cf79d1c87f41884c9a1989027d20ec0b99f3a7c88d0031e464	document.firstbloom.release_4455	document.firstbloom.release_4456	content_hash	distinct	2026-08-24T00:00:00+00:00	Distinct Firstbloom release identifiers are retained; matching tasting-note content alone does not establish a duplicate document.
duplicate_review.7258882eb3faf3f03e3f0047cfaf28857eb98306f7eb321546bf76d6fc101dd6	document.firstbloom.release_3496	document.firstbloom.release_3333	publisher_product_key	distinct	2026-08-24T00:00:00+00:00	Distinct Firstbloom release identifiers for one stable product are retained as historical release observations.
duplicate_review.8b29a7e927e7b91ba0cb39832da0945315ab059d171f98de88d788a53aa68beb	document.firstbloom.release_1068	document.firstbloom.release_140	publisher_product_key	distinct	2026-08-24T00:00:00+00:00	Distinct Firstbloom release identifiers for one stable product are retained as historical release observations.
duplicate_review.8e9e0a16e40791655377da4f015ceff86d9cf8f25f0ea462484b10534237b05c	document.firstbloom.release_949	document.firstbloom.release_1654	content_hash	distinct	2026-08-24T00:00:00+00:00	Distinct Firstbloom release identifiers are retained; matching tasting-note content alone does not establish a duplicate document.
duplicate_review.d4d63277b7f159f5df6a18c781b8c7329ab658a43bfac8efe99e0ac53e08d256	document.firstbloom.release_3881	document.firstbloom.release_1111	publisher_product_key	distinct	2026-08-24T00:00:00+00:00	Distinct Firstbloom release identifiers for one stable product are retained as historical release observations.
duplicate_review.665cca861e5b44b603998524baecf794147ae7cc25df0e76ee5e50d77b886a12	document.firstbloom.release_4246	document.firstbloom.release_2310	publisher_product_key	distinct	2026-08-24T00:00:00+00:00	Distinct Firstbloom release identifiers for one stable product are retained as historical release observations.
duplicate_review.5b1026a625b0829c9c6458da7a99b86af2ecc6c95bcd65feb0de8862c1da3465	document.firstbloom.release_3383	document.firstbloom.release_595	publisher_product_key	distinct	2026-08-24T00:00:00+00:00	Distinct Firstbloom release identifiers for one stable product are retained as historical release observations.
duplicate_review.cbdb12406b036884be01576594dad81e1e48f9444a657d44e16ab384839df052	document.firstbloom.release_1188	document.firstbloom.release_3671	publisher_product_key	distinct	2026-08-24T00:00:00+00:00	Distinct Firstbloom release identifiers for one stable product are retained as historical release observations.
duplicate_review.1bb2a833f77bda9f8e8b599c8c6a80acfe839df4ed8b7da40fc1125036c02b0e	document.firstbloom.release_2661	document.firstbloom.release_2616	content_hash	distinct	2026-08-24T00:00:00+00:00	Distinct Firstbloom release identifiers are retained; matching tasting-note content alone does not establish a duplicate document.
duplicate_review.37eab98d870fffd4a3e7532125a25a95a41a506ca29c6bbcb1862dec2ff2c60c	document.firstbloom.release_3181	document.firstbloom.release_1908	publisher_product_key	distinct	2026-08-24T00:00:00+00:00	Distinct Firstbloom release identifiers for one stable product are retained as historical release observations.
duplicate_review.a000be8881e9b54e07faf493c0decefbe23ec3c00d5f4790fc6f6be2d9bcb1ea	document.firstbloom.release_1897	document.firstbloom.release_3514	publisher_product_key	distinct	2026-08-24T00:00:00+00:00	Distinct Firstbloom release identifiers for one stable product are retained as historical release observations.
duplicate_review.ae34c5b2ec830a3954a0b067f2701a7e3a8998c41e48044c02cffd82d7e03b09	document.firstbloom.release_2666	document.firstbloom.release_2664	content_hash	distinct	2026-08-24T00:00:00+00:00	Distinct Firstbloom release identifiers are retained; matching tasting-note content alone does not establish a duplicate document.
duplicate_review.395d85918d22bcd87231ad38569c961f8ed5de0b2e4cc25246f741b89d652070	document.firstbloom.release_4593	document.firstbloom.release_2944	publisher_product_key	distinct	2026-08-24T00:00:00+00:00	Distinct Firstbloom release identifiers for one stable product are retained as historical release observations.
