frequency_key	representative_expression_key	representative_basic_normalized_text	normalized_text	expression_frequency	document_frequency	publisher_prevalence_count	publisher_sample_count	country_prevalence_count	country_sample_count	value_semantics
frequency.firstbloom-a6cb002-pilot-v1.0cdc83b3917fb39c273645ad67b73cf29935e9aeba543074e18ffa74c9ba9e40	expression.observed.en.sha256_0cdc83b3917fb39c273645ad67b73cf29935e9aeba543074e18ffa74c9ba9e40	70% chocolate	70% chocolate	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.958beca66289c3b4b75d75d48a6cfc1a199724d5e6c70e98412f0b9c073edb9f	expression.observed.en.sha256_958beca66289c3b4b75d75d48a6cfc1a199724d5e6c70e98412f0b9c073edb9f	70% dark chocolate	70% dark chocolate	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.aa833431402ffa223589d2741c628a5f5855d11490bc537db6608169a6d4795c	expression.observed.en.sha256_aa833431402ffa223589d2741c628a5f5855d11490bc537db6608169a6d4795c	a balanced acidity	a balanced acidity	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.c5affcfd2e778e6d8a29ddcb086ea1e5a3fc975f0168cd017b645bed061669ea	expression.observed.en.sha256_c5affcfd2e778e6d8a29ddcb086ea1e5a3fc975f0168cd017b645bed061669ea	a beautiful bright acidity	a beautiful bright acidity	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.29ac46e3b18ea487523c128091a80cba082b527697bcf41bc39cb8efaf0d06bc	expression.observed.en.sha256_29ac46e3b18ea487523c128091a80cba082b527697bcf41bc39cb8efaf0d06bc	a bold body and a balanced sweetness	a bold body and a balanced sweetness	2	2	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.50ec352d421fd3fbb143f16e8feb903ac3aedd8fe1b1307ce1917eca44b8fb5e	expression.observed.en.sha256_50ec352d421fd3fbb143f16e8feb903ac3aedd8fe1b1307ce1917eca44b8fb5e	a bold body and a light sweetness	a bold body and a light sweetness	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.14585b6061dcb4e34c75239ff7d405a7db893cfb346efae76c34815669b00cf4	expression.observed.en.sha256_14585b6061dcb4e34c75239ff7d405a7db893cfb346efae76c34815669b00cf4	a chocolatey base	a chocolatey base	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.0af6066bbbdcecb90e0f669f83f296edb26cfa7be904fd1e61e9001cabc631d9	expression.observed.en.sha256_0af6066bbbdcecb90e0f669f83f296edb26cfa7be904fd1e61e9001cabc631d9	a complex cup with notes of chocolate	a complex cup with notes of chocolate	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.381ba76dfe15e8bb13c188a3b8e454c6fe9d7fe1a130749f758db2a9e8aff8d1	expression.observed.en.sha256_381ba76dfe15e8bb13c188a3b8e454c6fe9d7fe1a130749f758db2a9e8aff8d1	a creamy coffee	a creamy coffee	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
frequency.firstbloom-a6cb002-pilot-v1.a85388a573bbb628b2f3a31e01de427b7241baaa51b158f57a41650bfdd89e58	expression.observed.en.sha256_a85388a573bbb628b2f3a31e01de427b7241baaa51b158f57a41650bfdd89e58	a dark chocolate backbone	a dark chocolate backbone	1	1	1	215			Retained normalized phrase occurrence, document, and publisher counts in the frozen pilot. Country prevalence is NULL because roaster country is not source asserted.
