publisher_key	source_policy_key	external_publisher_key	name	domain	roaster_country_code	metadata
publisher.firstbloom.1	source_policy.firstbloom.a6cb002.derived_terms	1	Phil & Sebastian	philsebastian.com		"{""firstbloom_roaster_id"":""1"",""iana_timezone"":""America/Edmonton"",""roaster_country_not_inferred"":true,""source_label"":""Phil & Sebastian"",""source_name"":""phil & sebastian"",""website"":""https://philsebastian.com/""}"
publisher.firstbloom.2	source_policy.firstbloom.a6cb002.derived_terms	2	Detour Coffee Roasters	detourcoffee.com		"{""firstbloom_roaster_id"":""2"",""iana_timezone"":""America/Toronto"",""roaster_country_not_inferred"":true,""source_label"":""Detour Coffee Roasters"",""source_name"":""detour coffee roasters"",""website"":""https://detourcoffee.com/""}"
publisher.firstbloom.3	source_policy.firstbloom.a6cb002.derived_terms	3	Cantook Micro Torréfaction	cantookcafe.com		"{""firstbloom_roaster_id"":""3"",""iana_timezone"":""America/Toronto"",""roaster_country_not_inferred"":true,""source_label"":""Cantook Micro Torréfaction"",""source_name"":""cantook micro torrefaction"",""website"":""https://cantookcafe.com/""}"
publisher.firstbloom.4	source_policy.firstbloom.a6cb002.derived_terms	4	49th Parallel	49thcoffee.com		"{""firstbloom_roaster_id"":""4"",""iana_timezone"":null,""roaster_country_not_inferred"":true,""source_label"":""49th Parallel"",""source_name"":""49th parallel"",""website"":""https://49thcoffee.com/""}"
publisher.firstbloom.5	source_policy.firstbloom.a6cb002.derived_terms	5	Nomad	nomadcoffee.es		"{""firstbloom_roaster_id"":""5"",""iana_timezone"":null,""roaster_country_not_inferred"":true,""source_label"":""Nomad"",""source_name"":""nomad"",""website"":""https://nomadcoffee.es/""}"
publisher.firstbloom.8	source_policy.firstbloom.a6cb002.derived_terms	8	SlowMov	slowmov.com		"{""firstbloom_roaster_id"":""8"",""iana_timezone"":null,""roaster_country_not_inferred"":true,""source_label"":""SlowMov"",""source_name"":""slowmov"",""website"":""https://slowmov.com/en/""}"
publisher.firstbloom.10	source_policy.firstbloom.a6cb002.derived_terms	10	Kaito	kaitocoffee.com		"{""firstbloom_roaster_id"":""10"",""iana_timezone"":""America/Montreal"",""roaster_country_not_inferred"":true,""source_label"":""Kaito"",""source_name"":""kaito"",""website"":""https://kaitocoffee.com""}"
publisher.firstbloom.12	source_policy.firstbloom.a6cb002.derived_terms	12	Intelligentsia	www.intelligentsiacoffee.com		"{""firstbloom_roaster_id"":""12"",""iana_timezone"":""America/Chicago"",""roaster_country_not_inferred"":true,""source_label"":""Intelligentsia"",""source_name"":""intelligentsia"",""website"":""https://www.intelligentsiacoffee.com""}"
publisher.firstbloom.13	source_policy.firstbloom.a6cb002.derived_terms	13	Counter Culture	www.counterculturecoffee.com		"{""firstbloom_roaster_id"":""13"",""iana_timezone"":""America/Toronto"",""roaster_country_not_inferred"":true,""source_label"":""Counter Culture"",""source_name"":""counter culture"",""website"":""https://www.counterculturecoffee.com""}"
publisher.firstbloom.14	source_policy.firstbloom.a6cb002.derived_terms	14	Dispatch	dispatchcoffee.ca		"{""firstbloom_roaster_id"":""14"",""iana_timezone"":""America/Toronto"",""roaster_country_not_inferred"":true,""source_label"":""Dispatch"",""source_name"":""dispatch"",""website"":""https://dispatchcoffee.ca/""}"
