Source,Type,Roast,Extraction,Stat,Other,Units,Citric,Formic,Malic,Pyruvic,Quinic,Succinic,Acetic,Oxalic,Fumaric,Tartaric,Lactic,Glycolic,Nitric,Mesaconic ,Maleic,Isocitric,Citraconic,Propionic,2-Furoic ,Pyroglutamic,Phosphoric,Levulinic Acid,Methylsuccinic,Nicotinic,Ascorbic,Hydroxybenzoic,Total,Notes , , , , , , , , , , 
Jham et al. (2002),Arabica,Green,Solvent,mean,,mg/kg,11000,,4600,,6700,,,,30,,,,,,,,,,,,,,,,,,22330,,,,,,,,,,,
Jham et al. (2002),Arabica,Green,Solvent,mean,,mg/kg,13000,,3100,,8500,,,900,10,,,,,,,,,,,,,,,,,,25510,,,,,,,,,,,
Jham et al. (2002),Arabica,Green,Solvent,mean,,mg/kg,11500,,4700,,6700,3300,,,21,,,,,,,,,,,,,,,,,,26221,,,,,,,,,,,
Jham et al. (2002),Arabica,Green,Solvent,mean,,mg/kg,11200,,4400,,7000,,,,30,,,,,,,,,,,,,,,,,,22630,,,,,,,,,,,
Dong et al. (2017),Robusta,Green,Immersion,mean,,mg/kg,1708.06,1204.78,4464.68,,,578.67,,41.57,,1358.38,,,,,,,,,,,,,,,,,9356.14,,,,,,,,,,,
Dong et al. (2017),Robusta,Green,Immersion,mean,,,1580.02,1177.71,4235.16,,,725.38,,39.75,,1861.92,,,,,,,,,,,,,,,,,9619.94,,,,,,,,,,,
Dong et al. (2017),Robusta,Green,Immersion,mean,,,1688.4,1161.96,4304.69,,,560.24,,42.86,,1685,,,,,,,,,,,,,,,,,9443.15,,,,,,,,,,,
Dong et al. (2017),Robusta,Green,Immersion,mean,,,1905.66,1392.22,5525.58,,,1011.34,,31.23,,1821.35,,,,,,,,,,,,,,,,,11687.38,,,,,,,,,,,
Dong et al. (2017),Robusta,Green,Immersion,mean,,,1445.24,1330.74,4170.15,,690.98,1799.42,,31.46,,3168.98,,,,,,,,,,,,,,,,,12636.97,,,,,,,,,,,
Galli & Barbas (2004),Unspecified,Unspecified,Immersion,mean,,mg/kg,10100,2700,2200,,9400,180,,256,206,,720,1690,,77,102,1300,260,60,150,850,,,,,,,30251,,,,,,,,,,,
Galli & Barbas (2004),Unspecified,Green,Immersion,mean,,mg/kg,14400,8100,5700,,44000,800,,170,1140,,2100,4000,79,410,460,18300,820,,500,8800,,,,,,,109779,,,,,,,,,,,
Verardo et al. (2002),Blend,Unspecified,Immersion,mean,"calc, using MW and extract density",mg/kg,6247.81,1528.88,1857.59,,6246.38,188.78,3690.46,,,,1184.00,1161.69,,,,,462.17,223.69,1592.61,916.80,1740.50,123.74,93.86,109.33,,24.53,27392.80655,,,,,,,,,,,
Verardo et al. (2002),Blend,Unspecified,Immersion,mean,,mg/kg,6350.23,2003.08,1905.22,,7202.10,461.45,5098.38,,,,1504.00,1418.34,,,,,670.14,263.16,199.08,985.56,2158.22,185.61,117.33,153.07,,24.53,30699.50144,,,,,,,,,,,
