language_expression_key	language_code	representative_source_phrase	normalized_expression	expression_role	source_authored	machine_translated	artificial_variant	review_state	counts_toward_governed_total	counts_as_zh_hans_sensory_expression	public_export_allowed	limitation
language.expression.en.sha256_005f567769bbad0c75561f629e8345a0201033fce114acfe306485de826c86bf	en	Swiss Chocolate and Strawberry	swiss chocolate and strawberry	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_00b4c6acfba03bbd8f2ed2c780e9ed39da24ed4ee5bfef4e43dcc333d013964f	en	Explosion de petits fruits rouges	explosion de petits fruits rouges	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_00fb4e2da09f9f24c418bfd97d894547fc8e1935b8fd1c7735375cd5121fe674	en	walnut and grapefruit	walnut and grapefruit	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_011ed55c1cd8b529efc54dc6775b4840e378b8de95f06ace5eb52dfcc715eebf	en	MIEL BRUT	miel brut	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_016aa8b438c66d6fa7ab36f58c128d036a23209e3414d6b823132d0a48b63f20	en	White Grape and Roasted Almond	white grape and roasted almond	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_0191de6f1d519efa3512ec1d04c0d444978402a47652ec5177601ae66d1341fc	en	Tropical Fruit and Velvety	tropical fruit and velvety	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_0212af9bbe6151f173d515501ad95e301ddcc0c34d1efb63896871d33733b139	en	Apricot and Almond	apricot and almond	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_021e028a33189c1d797cf762b8f910b6e457e69191e2ad1613b02c2107f1a895	en	Fresh Cream and Vanilla	fresh cream and vanilla	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_02471a076163c5bffbf3919e238cc15d125188b51b8f1e19bd4796aaf9ca9c91	en	sweet plum and hazelnut	sweet plum and hazelnut	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
language.expression.en.sha256_02587876979917e4d3aa757ee7af8a7d1ebc2a325aaa1145a2ed5ac6291ff4ee	en	whisky	whisky	UNRESOLVED	true	false	false	DUAL_CODEX_REVIEWED	true	false	true	Observed licensed industry phrase; not a canonical concept or scientific sensory fact.
