scoresheet_key	series_key	year	category	round	scoresheet_type	official_url	version_status	inspected	access_state	evidence_fields	note
wcc_wbc_2026_technical	wcc_wbc	2026	ALL_SERVICES	ALL_ROUNDS	TECHNICAL_SCORESHEET	https://wcc.coffee/s/2026-WBC-Technical-Scoresheet.pdf	OFFICIAL_CURRENT_LISTING	NO	PUBLIC_OFFICIAL_PDF	UNKNOWN_PENDING_DIRECT_PDF_INSPECTION	Official 2026 rules index; public access is not reuse permission
wcc_wbc_2026_sensory	wcc_wbc	2026	ESPRESSO_MILK_SIGNATURE	ALL_ROUNDS	SENSORY_SCORESHEET	https://wcc.coffee/s/2023-WBC-Sensory-Scoresheet-UPDATED.pdf	OFFICIAL_CURRENT_LISTING_FILENAME_2023	NO	PUBLIC_OFFICIAL_PDF	UNKNOWN_PENDING_DIRECT_PDF_INSPECTION	Listed under 2026 resources but filename says 2023; do not infer an unverified version
wcc_wbc_2026_head_prelim	wcc_wbc	2026	ALL_SERVICES	PRELIMINARY	HEAD_JUDGE_SCORESHEET	https://wcc.coffee/s/2023-WBC-Head-Judge-Scoresheet-Preliminary-Round.pdf	OFFICIAL_CURRENT_LISTING_FILENAME_2023	NO	PUBLIC_OFFICIAL_PDF	UNKNOWN_PENDING_DIRECT_PDF_INSPECTION	Listed under 2026 resources but filename says 2023
wcc_wbc_2026_head_late	wcc_wbc	2026	ALL_SERVICES	SEMIFINAL_AND_FINAL	HEAD_JUDGE_SCORESHEET	https://wcc.coffee/s/2023-WBC-Head-Judge-Scoresheet-Semi-and-Finals-Rounds.pdf	OFFICIAL_CURRENT_LISTING_FILENAME_2023	NO	PUBLIC_OFFICIAL_PDF	UNKNOWN_PENDING_DIRECT_PDF_INSPECTION	Listed under 2026 resources but filename says 2023
wcc_wbrc_2026_compulsory_head	wcc_wbrc	2026	COMPULSORY_SERVICE	COMPULSORY_SERVICE	HEAD_JUDGE_SCORESHEET	https://wcc.coffee/s/2026-WBrC-Compulsory-Head-Judge-Scoresheet.pdf	OFFICIAL_CURRENT	NO	PUBLIC_OFFICIAL_PDF	UNKNOWN_PENDING_DIRECT_PDF_INSPECTION	Official current PDF
wcc_wbrc_2026_compulsory	wcc_wbrc	2026	COMPULSORY_SERVICE	COMPULSORY_SERVICE	SENSORY_SCORESHEET	https://wcc.coffee/s/2026-WBrC-Compulsory-Service-Scoresheet.pdf	OFFICIAL_CURRENT	NO	PUBLIC_OFFICIAL_PDF	AROMA,FLAVOR,AFTERTASTE,ACIDITY,BODY,BALANCE,OVERALL_TO_BE_CONFIRMED	Official page describes standardized sensory judging; exact fields require PDF inspection
wcc_wbrc_2026_open_head	wcc_wbrc	2026	OPEN_SERVICE	OPEN_SERVICE	HEAD_JUDGE_SCORESHEET	https://wcc.coffee/s/2026-WBrC-Open-Service-Head-Judge-Scoresheet.pdf	OFFICIAL_CURRENT	NO	PUBLIC_OFFICIAL_PDF	UNKNOWN_PENDING_DIRECT_PDF_INSPECTION	Official current PDF
wcc_wbrc_2026_open	wcc_wbrc	2026	OPEN_SERVICE	OPEN_SERVICE	SENSORY_SCORESHEET	https://wcc.coffee/s/2026-WBrC-Open-Service-Scoresheet.pdf	OFFICIAL_CURRENT	NO	PUBLIC_OFFICIAL_PDF	AROMA,FLAVOR,AFTERTASTE,ACIDITY,BODY,BALANCE,OVERALL_TO_BE_CONFIRMED	Official page describes aroma, flavor, body, balance, and acidity; exact sheet fields require inspection
wcc_wlac_2026_index	wcc_wlac	2026	LATTE_ART	ALL_ROUNDS	OFFICIAL_DOWNLOAD_INDEX	https://wcc.coffee/rules-regulations	OFFICIAL_CURRENT_INDEX	NO	PUBLIC_DOWNLOAD_INDEX	VISUAL_AND_TECHNICAL_FIELDS_UNKNOWN	Retained for exclusion mapping; direct current PDF URLs not enumerated in this pass
wcc_wcigs_2026_index	wcc_wcigs	2026	IRISH_AND_DESIGNER_BEVERAGES	ALL_ROUNDS	OFFICIAL_DOWNLOAD_INDEX	https://wcc.coffee/rules-regulations	OFFICIAL_CURRENT_INDEX	NO	PUBLIC_DOWNLOAD_INDEX	COCKTAIL_FIELDS_UNKNOWN	Excluded beverage family; direct current PDF URLs not enumerated in this pass
