request_key	organizer	request_topic	request_draft	request_status	outbound_data_request_count	contract_acceptance_count	commercial_purchase_count
round3m.ace_coe.01	ACE_COE	AUTHORSHIP_GENERIC_SENSORY_FIELDS	Please clarify the specified field provenance, retained observation level, permitted research/model purpose, and derived-data redistribution boundary.	NOT_SENT	0	0	0
round3m.ace_coe.02	ACE_COE	LEGACY_FREQUENCY_COUNT_ORIGIN	Please clarify the specified field provenance, retained observation level, permitted research/model purpose, and derived-data redistribution boundary.	NOT_SENT	0	0	0
round3m.ace_coe.03	ACE_COE	TOP_JURY_DERIVED_ASSERTION_STORAGE	Please clarify the specified field provenance, retained observation level, permitted research/model purpose, and derived-data redistribution boundary.	NOT_SENT	0	0	0
round3m.ace_coe.04	ACE_COE	INTERNAL_RESEARCH_USE	Please clarify the specified field provenance, retained observation level, permitted research/model purpose, and derived-data redistribution boundary.	NOT_SENT	0	0	0
round3m.ace_coe.05	ACE_COE	MODEL_RESEARCH_USE	Please clarify the specified field provenance, retained observation level, permitted research/model purpose, and derived-data redistribution boundary.	NOT_SENT	0	0	0
round3m.ace_coe.06	ACE_COE	DEPLOYMENT_COMMERCIAL_MODEL_USE	Please clarify the specified field provenance, retained observation level, permitted research/model purpose, and derived-data redistribution boundary.	NOT_SENT	0	0	0
round3m.ace_coe.07	ACE_COE	DERIVED_NORMALIZED_DATA_REDISTRIBUTION	Please clarify the specified field provenance, retained observation level, permitted research/model purpose, and derived-data redistribution boundary.	NOT_SENT	0	0	0
round3m.ace_coe.08	ACE_COE	HISTORICAL_JURY_EXPORT_ACCESS	Please clarify the specified field provenance, retained observation level, permitted research/model purpose, and derived-data redistribution boundary.	NOT_SENT	0	0	0
round3m.iiac.01	IIAC	PRODUCT_LEVEL_PROFILE_ACCESS	Please clarify the specified field provenance, retained observation level, permitted research/model purpose, and derived-data redistribution boundary.	NOT_SENT	0	0	0
round3m.iiac.02	IIAC	THIRTEEN_DIMENSION_VALUES	Please clarify the specified field provenance, retained observation level, permitted research/model purpose, and derived-data redistribution boundary.	NOT_SENT	0	0	0
round3m.iiac.03	IIAC	RAW_JUDGE_VS_MEDIAN_RETENTION	Please clarify the specified field provenance, retained observation level, permitted research/model purpose, and derived-data redistribution boundary.	NOT_SENT	0	0	0
round3m.iiac.04	IIAC	ARCHIVE_SIZE_AND_COVERAGE	Please clarify the specified field provenance, retained observation level, permitted research/model purpose, and derived-data redistribution boundary.	NOT_SENT	0	0	0
round3m.iiac.05	IIAC	INTERNAL_RESEARCH_USE	Please clarify the specified field provenance, retained observation level, permitted research/model purpose, and derived-data redistribution boundary.	NOT_SENT	0	0	0
round3m.iiac.06	IIAC	MODEL_RESEARCH_USE	Please clarify the specified field provenance, retained observation level, permitted research/model purpose, and derived-data redistribution boundary.	NOT_SENT	0	0	0
round3m.iiac.07	IIAC	DEPLOYMENT_USE	Please clarify the specified field provenance, retained observation level, permitted research/model purpose, and derived-data redistribution boundary.	NOT_SENT	0	0	0
round3m.iiac.08	IIAC	DERIVED_DATA_PUBLICATION	Please clarify the specified field provenance, retained observation level, permitted research/model purpose, and derived-data redistribution boundary.	NOT_SENT	0	0	0
round3m.wcc_and_national_bodies.01	WCC_AND_NATIONAL_BODIES	COMPLETED_FILLED_SCORESHEETS	Please clarify the specified field provenance, retained observation level, permitted research/model purpose, and derived-data redistribution boundary.	NOT_SENT	0	0	0
round3m.wcc_and_national_bodies.02	WCC_AND_NATIONAL_BODIES	JUDGE_COMMENTS	Please clarify the specified field provenance, retained observation level, permitted research/model purpose, and derived-data redistribution boundary.	NOT_SENT	0	0	0
round3m.wcc_and_national_bodies.03	WCC_AND_NATIONAL_BODIES	SENSORY_DESCRIPTION_FIELDS	Please clarify the specified field provenance, retained observation level, permitted research/model purpose, and derived-data redistribution boundary.	NOT_SENT	0	0	0
round3m.wcc_and_national_bodies.04	WCC_AND_NATIONAL_BODIES	EFFECTIVE_RECORD_IDENTITY	Please clarify the specified field provenance, retained observation level, permitted research/model purpose, and derived-data redistribution boundary.	NOT_SENT	0	0	0
round3m.wcc_and_national_bodies.05	WCC_AND_NATIONAL_BODIES	PREPARATION_SERVICE	Please clarify the specified field provenance, retained observation level, permitted research/model purpose, and derived-data redistribution boundary.	NOT_SENT	0	0	0
round3m.wcc_and_national_bodies.06	WCC_AND_NATIONAL_BODIES	EDITION_AND_ROUND	Please clarify the specified field provenance, retained observation level, permitted research/model purpose, and derived-data redistribution boundary.	NOT_SENT	0	0	0
round3m.wcc_and_national_bodies.07	WCC_AND_NATIONAL_BODIES	JUDGE_LEVEL_VS_CONSENSUS	Please clarify the specified field provenance, retained observation level, permitted research/model purpose, and derived-data redistribution boundary.	NOT_SENT	0	0	0
round3m.wcc_and_national_bodies.08	WCC_AND_NATIONAL_BODIES	RESEARCH_AND_MODEL_RIGHTS	Please clarify the specified field provenance, retained observation level, permitted research/model purpose, and derived-data redistribution boundary.	NOT_SENT	0	0	0
round3m.golden_bean.01	GOLDEN_BEAN	NON_PUBLIC_FILLED_JUDGE_COMMENTS	Please clarify the specified field provenance, retained observation level, permitted research/model purpose, and derived-data redistribution boundary.	NOT_SENT	0	0	0
round3m.golden_bean.02	GOLDEN_BEAN	SENSORY_FEEDBACK	Please clarify the specified field provenance, retained observation level, permitted research/model purpose, and derived-data redistribution boundary.	NOT_SENT	0	0	0
round3m.golden_bean.03	GOLDEN_BEAN	COMPLETED_SCORESHEETS	Please clarify the specified field provenance, retained observation level, permitted research/model purpose, and derived-data redistribution boundary.	NOT_SENT	0	0	0
round3m.golden_bean.04	GOLDEN_BEAN	PRODUCT_LEVEL_ASSESSMENT_EXPORTS	Please clarify the specified field provenance, retained observation level, permitted research/model purpose, and derived-data redistribution boundary.	NOT_SENT	0	0	0
round3m.golden_bean.05	GOLDEN_BEAN	RESEARCH_AND_MODEL_RIGHTS	Please clarify the specified field provenance, retained observation level, permitted research/model purpose, and derived-data redistribution boundary.	NOT_SENT	0	0	0
round3m.global_coffee_awards.01	GLOBAL_COFFEE_AWARDS	NON_PUBLIC_FILLED_JUDGE_COMMENTS	Please clarify the specified field provenance, retained observation level, permitted research/model purpose, and derived-data redistribution boundary.	NOT_SENT	0	0	0
round3m.global_coffee_awards.02	GLOBAL_COFFEE_AWARDS	SENSORY_FEEDBACK	Please clarify the specified field provenance, retained observation level, permitted research/model purpose, and derived-data redistribution boundary.	NOT_SENT	0	0	0
round3m.global_coffee_awards.03	GLOBAL_COFFEE_AWARDS	COMPLETED_SCORESHEETS	Please clarify the specified field provenance, retained observation level, permitted research/model purpose, and derived-data redistribution boundary.	NOT_SENT	0	0	0
round3m.global_coffee_awards.04	GLOBAL_COFFEE_AWARDS	PRODUCT_LEVEL_ASSESSMENT_EXPORTS	Please clarify the specified field provenance, retained observation level, permitted research/model purpose, and derived-data redistribution boundary.	NOT_SENT	0	0	0
round3m.global_coffee_awards.05	GLOBAL_COFFEE_AWARDS	RESEARCH_AND_MODEL_RIGHTS	Please clarify the specified field provenance, retained observation level, permitted research/model purpose, and derived-data redistribution boundary.	NOT_SENT	0	0	0
