source_route_id	source_family_id	organizer_id	independent_source_family_id	route_disposition	census_item_count	artifact_count	publication_row_count	effective_record_candidate_count	gate_descriptor_candidate_count	disposition_basis
route.aica_official	family.melbourne_royal	organizer.melbourne_royal	family.melbourne_royal	EXCLUDED_LOW_YIELD	1	0	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.aica_results	family.melbourne_royal	organizer.melbourne_royal	family.melbourne_royal	EXCLUDED_LOW_YIELD	1	0	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.aica_rules	family.melbourne_royal	organizer.melbourne_royal	family.melbourne_royal	EXCLUDED_LOW_YIELD	1	1	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.avpa_coffees_roasted_at_origin	family.avpa	organizer.avpa	family.avpa	EXCLUDED_LOW_YIELD	7	5	395	395	376	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.avpa_official	family.avpa	organizer.avpa	family.avpa	EXCLUDED_LOW_YIELD	1	0	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.avpa_results	family.avpa	organizer.avpa	family.avpa	EXCLUDED_LOW_YIELD	1	0	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.avpa_rules	family.avpa	organizer.avpa	family.avpa	EXCLUDED_LOW_YIELD	1	0	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.best_of_panama	family.scap_best_of_panama	organizer.scap	family.scap_best_of_panama	EXCLUDED_LOW_YIELD	6	1	50	50	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.bop_official	family.scap_best_of_panama	organizer.scap	family.scap_best_of_panama	EXCLUDED_LOW_YIELD	1	2	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.bop_results	family.scap_best_of_panama	organizer.scap	family.scap_best_of_panama	EXCLUDED_LOW_YIELD	2	26	860	846	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.coe	family.ace_cup_of_excellence	organizer.ace	family.ace_cup_of_excellence	UNRESOLVED_ROUTE	6	1	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.coe_bolivia	family.ace_cup_of_excellence	organizer.ace	family.ace_cup_of_excellence	UNRESOLVED_ROUTE	5	10	234	234	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.coe_brazil	family.ace_cup_of_excellence	organizer.ace	family.ace_cup_of_excellence	UNRESOLVED_ROUTE	35	63	1619	1619	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.coe_burundi	family.ace_cup_of_excellence	organizer.ace	family.ace_cup_of_excellence	UNRESOLVED_ROUTE	7	14	340	340	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.coe_colombia	family.ace_cup_of_excellence	organizer.ace	family.ace_cup_of_excellence	UNRESOLVED_ROUTE	20	38	1055	1055	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.coe_costa_rica	family.ace_cup_of_excellence	organizer.ace	family.ace_cup_of_excellence	UNRESOLVED_ROUTE	19	32	876	876	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.coe_ecuador	family.ace_cup_of_excellence	organizer.ace	family.ace_cup_of_excellence	UNRESOLVED_ROUTE	3	4	69	69	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.coe_el_salvador	family.ace_cup_of_excellence	organizer.ace	family.ace_cup_of_excellence	UNRESOLVED_ROUTE	23	41	1149	1149	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.coe_ethiopia	family.ace_cup_of_excellence	organizer.ace	family.ace_cup_of_excellence	UNRESOLVED_ROUTE	4	6	61	61	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.coe_guatemala	family.ace_cup_of_excellence	organizer.ace	family.ace_cup_of_excellence	UNRESOLVED_ROUTE	23	41	1010	1010	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.coe_honduras	family.ace_cup_of_excellence	organizer.ace	family.ace_cup_of_excellence	UNRESOLVED_ROUTE	22	39	1112	1112	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.coe_indonesia	family.ace_cup_of_excellence	organizer.ace	family.ace_cup_of_excellence	UNRESOLVED_ROUTE	4	5	75	75	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.coe_mexico	family.ace_cup_of_excellence	organizer.ace	family.ace_cup_of_excellence	UNRESOLVED_ROUTE	13	21	472	472	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.coe_nicaragua	family.ace_cup_of_excellence	organizer.ace	family.ace_cup_of_excellence	UNRESOLVED_ROUTE	22	39	1076	1076	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.coe_official	family.ace_cup_of_excellence	organizer.ace	family.ace_cup_of_excellence	UNRESOLVED_ROUTE	2	1	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.coe_peru	family.ace_cup_of_excellence	organizer.ace	family.ace_cup_of_excellence	UNRESOLVED_ROUTE	10	15	340	340	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.coe_results	family.ace_cup_of_excellence	organizer.ace	family.ace_cup_of_excellence	UNRESOLVED_ROUTE	2	108	1040	1038	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.coe_rwanda	family.ace_cup_of_excellence	organizer.ace	family.ace_cup_of_excellence	UNRESOLVED_ROUTE	8	16	412	412	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.coe_taiwan	family.ace_cup_of_excellence	organizer.ace	family.ace_cup_of_excellence	UNRESOLVED_ROUTE	3	3	41	41	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.coe_thailand	family.ace_cup_of_excellence	organizer.ace	family.ace_cup_of_excellence	UNRESOLVED_ROUTE	5	5	94	94	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.gca_contact	family.global_coffee_awards	organizer.global_coffee_awards	family.global_coffee_awards	EXCLUDED_LOW_YIELD	1	0	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.gca_official	family.global_coffee_awards	organizer.global_coffee_awards	family.global_coffee_awards	EXCLUDED_LOW_YIELD	1	0	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.gca_rules	family.global_coffee_awards	organizer.global_coffee_awards	family.global_coffee_awards	EXCLUDED_LOW_YIELD	2	0	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.global_coffee_awards	family.global_coffee_awards	organizer.global_coffee_awards	family.global_coffee_awards	EXCLUDED_LOW_YIELD	12	0	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.golden_bean_americas	family.golden_bean	organizer.golden_bean	family.golden_bean	EXCLUDED_LOW_YIELD	6	50	1498	1498	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.golden_bean_australasia	family.golden_bean	organizer.golden_bean	family.golden_bean	EXCLUDED_LOW_YIELD	4	84	3149	3149	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.golden_bean_official	family.golden_bean	organizer.golden_bean	family.golden_bean	EXCLUDED_LOW_YIELD	3	1	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.golden_bean_results	family.golden_bean	organizer.golden_bean	family.golden_bean	EXCLUDED_LOW_YIELD	2	1	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.golden_bean_world_series	family.golden_bean	organizer.golden_bean	family.golden_bean	EXCLUDED_LOW_YIELD	4	1	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.iiac_ict	family.iiac	organizer.iiac	family.iiac	PARTNERSHIP_ONLY	5	4	182	182	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.iiac_method	family.iiac	organizer.iiac	family.iiac	PARTNERSHIP_ONLY	1	0	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.iiac_official	family.iiac	organizer.iiac	family.iiac	PARTNERSHIP_ONLY	1	1	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.iiac_results	family.iiac	organizer.iiac	family.iiac	PARTNERSHIP_ONLY	1	0	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.iiac_rules	family.iiac	organizer.iiac	family.iiac	PARTNERSHIP_ONLY	1	1	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.melbourne_royal_aica	family.melbourne_royal	organizer.melbourne_royal	family.melbourne_royal	EXCLUDED_LOW_YIELD	5	6	4535	4535	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.racs_official	family.royal_adelaide	organizer.royal_adelaide	family.royal_adelaide	EXCLUDED_LOW_YIELD	1	1	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.racs_results	family.royal_adelaide	organizer.royal_adelaide	family.royal_adelaide	EXCLUDED_LOW_YIELD	1	0	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.royal_adelaide_coffee_show	family.royal_adelaide	organizer.royal_adelaide	family.royal_adelaide	EXCLUDED_LOW_YIELD	6	3	343	343	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.scaj_competitions	family.scaj	organizer.scaj	family.scaj	EXCLUDED_LOW_YIELD	5	0	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.scaj_jbrc	family.scaj	organizer.scaj	family.scaj	EXCLUDED_LOW_YIELD	4	1	79	79	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.scaj_jcrc	family.scaj	organizer.scaj	family.scaj	EXCLUDED_LOW_YIELD	4	1	87	87	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.scaj_jhdc	family.scaj	organizer.scaj	family.scaj	EXCLUDED_LOW_YIELD	5	1	14	14	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.scaj_jsc	family.scaj	organizer.scaj	family.scaj	EXCLUDED_LOW_YIELD	9	1	83	83	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.scaj_wsc	family.scaj	organizer.scaj	family.scaj	EXCLUDED_LOW_YIELD	2	1	7	7	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.taste_of_harvest	family.afca_taste_of_harvest	organizer.afca	family.afca_taste_of_harvest	EXCLUDED_LOW_YIELD	15	11	149	149	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.toh_official	family.afca_taste_of_harvest	organizer.afca	family.afca_taste_of_harvest	EXCLUDED_LOW_YIELD	1	1	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.toh_results	family.afca_taste_of_harvest	organizer.afca	family.afca_taste_of_harvest	EXCLUDED_LOW_YIELD	1	0	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.toh_rules	family.afca_taste_of_harvest	organizer.afca	family.afca_taste_of_harvest	EXCLUDED_LOW_YIELD	1	0	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.wcc_cb_family_rec0zgr8vngzfsqhw	family.world_coffee_events	organizer.world_coffee_events	family.world_coffee_events	EXCLUDED_LOW_YIELD	1	1	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.wcc_cb_family_rec21urnlnue16imu	family.world_coffee_events	organizer.world_coffee_events	family.world_coffee_events	EXCLUDED_LOW_YIELD	1	2	19	19	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.wcc_cb_family_rec2yd5roxsvgmby5	family.world_coffee_events	organizer.world_coffee_events	family.world_coffee_events	EXCLUDED_LOW_YIELD	1	1	15	15	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.wcc_cb_family_rec3gfr83yrfthhh3	family.world_coffee_events	organizer.world_coffee_events	family.world_coffee_events	EXCLUDED_LOW_YIELD	1	5	55	55	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.wcc_cb_family_rec4raelzybhh2uip	family.world_coffee_events	organizer.world_coffee_events	family.world_coffee_events	EXCLUDED_LOW_YIELD	1	1	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.wcc_cb_family_rec6kvidw1gqaqubv	family.world_coffee_events	organizer.world_coffee_events	family.world_coffee_events	EXCLUDED_LOW_YIELD	1	1	3	3	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.wcc_cb_family_rec6lqu0yjlahunxc	family.world_coffee_events	organizer.world_coffee_events	family.world_coffee_events	EXCLUDED_LOW_YIELD	1	1	6	6	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.wcc_cb_family_rec7tuorabqiycucm	family.world_coffee_events	organizer.world_coffee_events	family.world_coffee_events	EXCLUDED_LOW_YIELD	1	1	3	3	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.wcc_cb_family_rec9rt4jchpkcwn8w	family.world_coffee_events	organizer.world_coffee_events	family.world_coffee_events	EXCLUDED_LOW_YIELD	1	1	3	3	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.wcc_cb_family_recagnhh5aiyrwslp	family.world_coffee_events	organizer.world_coffee_events	family.world_coffee_events	EXCLUDED_LOW_YIELD	1	1	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.wcc_cb_family_recahobfxvazsne9r	family.world_coffee_events	organizer.world_coffee_events	family.world_coffee_events	EXCLUDED_LOW_YIELD	1	9	309	309	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.wcc_cb_family_recam30lgpbukryzr	family.world_coffee_events	organizer.world_coffee_events	family.world_coffee_events	EXCLUDED_LOW_YIELD	1	0	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.wcc_cb_family_recaucmwthkwmahzq	family.world_coffee_events	organizer.world_coffee_events	family.world_coffee_events	EXCLUDED_LOW_YIELD	1	1	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.wcc_cb_family_recb2nvvtuijdxvwz	family.world_coffee_events	organizer.world_coffee_events	family.world_coffee_events	EXCLUDED_LOW_YIELD	1	1	9	9	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.wcc_cb_family_reccd2qbgyuexbewf	family.world_coffee_events	organizer.world_coffee_events	family.world_coffee_events	EXCLUDED_LOW_YIELD	1	1	0	0	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
route.wcc_cb_family_recdeylqqudi2kpxc	family.world_coffee_events	organizer.world_coffee_events	family.world_coffee_events	EXCLUDED_LOW_YIELD	1	2	44	44	0	Round 3M descriptor-first stop-loss policy; edition-level exceptions remain in SOURCE_CENSUS_UNIVERSE.tsv.
