expectation_key	series_key	series_name	year	expected_start_year	start_basis	primary_denominator	data_role	terminal_status	status_evidence	archive_rows_count_as_model_labels
archive:avpa_coffees_roasted_at_origin:2015	avpa_coffees_roasted_at_origin	International Contest of Coffees Roasted at Origin	2015	2015	PROVISIONAL_SERIES_SCOPE_START	true	LONGITUDINAL_ARCHIVE_ROW	NOT_FOUND	No acquired edition payload is present in the reconciled repository artifacts.	false
archive:avpa_coffees_roasted_at_origin:2016	avpa_coffees_roasted_at_origin	International Contest of Coffees Roasted at Origin	2016	2015	PROVISIONAL_SERIES_SCOPE_START	true	LONGITUDINAL_ARCHIVE_ROW	NOT_FOUND	No acquired edition payload is present in the reconciled repository artifacts.	false
archive:avpa_coffees_roasted_at_origin:2017	avpa_coffees_roasted_at_origin	International Contest of Coffees Roasted at Origin	2017	2015	PROVISIONAL_SERIES_SCOPE_START	true	LONGITUDINAL_ARCHIVE_ROW	NOT_FOUND	No acquired edition payload is present in the reconciled repository artifacts.	false
archive:avpa_coffees_roasted_at_origin:2018	avpa_coffees_roasted_at_origin	International Contest of Coffees Roasted at Origin	2018	2015	PROVISIONAL_SERIES_SCOPE_START	true	LONGITUDINAL_ARCHIVE_ROW	NOT_FOUND	No acquired edition payload is present in the reconciled repository artifacts.	false
archive:avpa_coffees_roasted_at_origin:2019	avpa_coffees_roasted_at_origin	International Contest of Coffees Roasted at Origin	2019	2015	PROVISIONAL_SERIES_SCOPE_START	true	LONGITUDINAL_ARCHIVE_ROW	NOT_FOUND	No acquired edition payload is present in the reconciled repository artifacts.	false
archive:avpa_coffees_roasted_at_origin:2020	avpa_coffees_roasted_at_origin	International Contest of Coffees Roasted at Origin	2020	2015	PROVISIONAL_SERIES_SCOPE_START	true	LONGITUDINAL_ARCHIVE_ROW	NOT_FOUND	No acquired edition payload is present in the reconciled repository artifacts.	false
archive:avpa_coffees_roasted_at_origin:2021	avpa_coffees_roasted_at_origin	International Contest of Coffees Roasted at Origin	2021	2015	PROVISIONAL_SERIES_SCOPE_START	true	LONGITUDINAL_ARCHIVE_ROW	ACQUIRED_METADATA_ONLY	1 public acquisition attempt(s) retained in Round 3L.	false
archive:avpa_coffees_roasted_at_origin:2022	avpa_coffees_roasted_at_origin	International Contest of Coffees Roasted at Origin	2022	2015	PROVISIONAL_SERIES_SCOPE_START	true	LONGITUDINAL_ARCHIVE_ROW	ACQUIRED_METADATA_ONLY	1 public acquisition attempt(s) retained in Round 3L.	false
archive:avpa_coffees_roasted_at_origin:2023	avpa_coffees_roasted_at_origin	International Contest of Coffees Roasted at Origin	2023	2015	PROVISIONAL_SERIES_SCOPE_START	true	LONGITUDINAL_ARCHIVE_ROW	ACQUIRED_METADATA_ONLY	1 public acquisition attempt(s) retained in Round 3L.	false
archive:avpa_coffees_roasted_at_origin:2024	avpa_coffees_roasted_at_origin	International Contest of Coffees Roasted at Origin	2024	2015	PROVISIONAL_SERIES_SCOPE_START	true	LONGITUDINAL_ARCHIVE_ROW	ACQUIRED_METADATA_ONLY	1 public acquisition attempt(s) retained in Round 3L.	false
archive:avpa_coffees_roasted_at_origin:2025	avpa_coffees_roasted_at_origin	International Contest of Coffees Roasted at Origin	2025	2015	PROVISIONAL_SERIES_SCOPE_START	true	LONGITUDINAL_ARCHIVE_ROW	ACQUIRED_METADATA_ONLY	1 public acquisition attempt(s) retained in Round 3L.	false
archive:avpa_coffees_roasted_at_origin:2026	avpa_coffees_roasted_at_origin	International Contest of Coffees Roasted at Origin	2026	2015	PROVISIONAL_SERIES_SCOPE_START	false	LONGITUDINAL_ARCHIVE_ROW	CURRENT_YEAR_INCOMPLETE	Round 4A treats 2026 as a separately labelled current-year supplement.	false
archive:best_of_panama:1996	best_of_panama	Best of Panama	1996	1996	THIRTY_YEAR_PROJECT_SCOPE_START	true	LONGITUDINAL_ARCHIVE_ROW	NOT_FOUND	No acquired edition payload is present in the reconciled repository artifacts.	false
archive:best_of_panama:1997	best_of_panama	Best of Panama	1997	1996	THIRTY_YEAR_PROJECT_SCOPE_START	true	LONGITUDINAL_ARCHIVE_ROW	NOT_FOUND	No acquired edition payload is present in the reconciled repository artifacts.	false
archive:best_of_panama:1998	best_of_panama	Best of Panama	1998	1996	THIRTY_YEAR_PROJECT_SCOPE_START	true	LONGITUDINAL_ARCHIVE_ROW	NOT_FOUND	No acquired edition payload is present in the reconciled repository artifacts.	false
archive:best_of_panama:1999	best_of_panama	Best of Panama	1999	1996	THIRTY_YEAR_PROJECT_SCOPE_START	true	LONGITUDINAL_ARCHIVE_ROW	NOT_FOUND	No acquired edition payload is present in the reconciled repository artifacts.	false
archive:best_of_panama:2000	best_of_panama	Best of Panama	2000	1996	THIRTY_YEAR_PROJECT_SCOPE_START	true	LONGITUDINAL_ARCHIVE_ROW	NOT_FOUND	No acquired edition payload is present in the reconciled repository artifacts.	false
archive:best_of_panama:2001	best_of_panama	Best of Panama	2001	1996	THIRTY_YEAR_PROJECT_SCOPE_START	true	LONGITUDINAL_ARCHIVE_ROW	NOT_FOUND	No acquired edition payload is present in the reconciled repository artifacts.	false
archive:best_of_panama:2002	best_of_panama	Best of Panama	2002	1996	THIRTY_YEAR_PROJECT_SCOPE_START	true	LONGITUDINAL_ARCHIVE_ROW	NOT_FOUND	No acquired edition payload is present in the reconciled repository artifacts.	false
archive:best_of_panama:2003	best_of_panama	Best of Panama	2003	1996	THIRTY_YEAR_PROJECT_SCOPE_START	true	LONGITUDINAL_ARCHIVE_ROW	NOT_FOUND	No acquired edition payload is present in the reconciled repository artifacts.	false
archive:best_of_panama:2004	best_of_panama	Best of Panama	2004	1996	THIRTY_YEAR_PROJECT_SCOPE_START	true	LONGITUDINAL_ARCHIVE_ROW	ACQUIRED_RANKING_ONLY	1 public acquisition attempt(s) retained in Round 3L.	false
archive:best_of_panama:2005	best_of_panama	Best of Panama	2005	1996	THIRTY_YEAR_PROJECT_SCOPE_START	true	LONGITUDINAL_ARCHIVE_ROW	ACQUIRED_RANKING_ONLY	1 public acquisition attempt(s) retained in Round 3L.	false
archive:best_of_panama:2006	best_of_panama	Best of Panama	2006	1996	THIRTY_YEAR_PROJECT_SCOPE_START	true	LONGITUDINAL_ARCHIVE_ROW	ACQUIRED_RANKING_ONLY	1 public acquisition attempt(s) retained in Round 3L.	false
archive:best_of_panama:2007	best_of_panama	Best of Panama	2007	1996	THIRTY_YEAR_PROJECT_SCOPE_START	true	LONGITUDINAL_ARCHIVE_ROW	ACQUIRED_RANKING_ONLY	1 public acquisition attempt(s) retained in Round 3L.	false
archive:best_of_panama:2008	best_of_panama	Best of Panama	2008	1996	THIRTY_YEAR_PROJECT_SCOPE_START	true	LONGITUDINAL_ARCHIVE_ROW	ACQUIRED_RANKING_ONLY	1 public acquisition attempt(s) retained in Round 3L.	false
archive:best_of_panama:2009	best_of_panama	Best of Panama	2009	1996	THIRTY_YEAR_PROJECT_SCOPE_START	true	LONGITUDINAL_ARCHIVE_ROW	ACQUIRED_RANKING_ONLY	1 public acquisition attempt(s) retained in Round 3L.	false
archive:best_of_panama:2010	best_of_panama	Best of Panama	2010	1996	THIRTY_YEAR_PROJECT_SCOPE_START	true	LONGITUDINAL_ARCHIVE_ROW	ACQUIRED_RANKING_ONLY	1 public acquisition attempt(s) retained in Round 3L.	false
archive:best_of_panama:2011	best_of_panama	Best of Panama	2011	1996	THIRTY_YEAR_PROJECT_SCOPE_START	true	LONGITUDINAL_ARCHIVE_ROW	ACQUIRED_RANKING_ONLY	1 public acquisition attempt(s) retained in Round 3L.	false
archive:best_of_panama:2012	best_of_panama	Best of Panama	2012	1996	THIRTY_YEAR_PROJECT_SCOPE_START	true	LONGITUDINAL_ARCHIVE_ROW	ACQUIRED_RANKING_ONLY	1 public acquisition attempt(s) retained in Round 3L.	false
archive:best_of_panama:2013	best_of_panama	Best of Panama	2013	1996	THIRTY_YEAR_PROJECT_SCOPE_START	true	LONGITUDINAL_ARCHIVE_ROW	ACQUIRED_RANKING_ONLY	1 public acquisition attempt(s) retained in Round 3L.	false
archive:best_of_panama:2014	best_of_panama	Best of Panama	2014	1996	THIRTY_YEAR_PROJECT_SCOPE_START	true	LONGITUDINAL_ARCHIVE_ROW	ACQUIRED_RANKING_ONLY	1 public acquisition attempt(s) retained in Round 3L.	false
archive:best_of_panama:2015	best_of_panama	Best of Panama	2015	1996	THIRTY_YEAR_PROJECT_SCOPE_START	true	LONGITUDINAL_ARCHIVE_ROW	ACQUIRED_RANKING_ONLY	1 public acquisition attempt(s) retained in Round 3L.	false
archive:best_of_panama:2016	best_of_panama	Best of Panama	2016	1996	THIRTY_YEAR_PROJECT_SCOPE_START	true	LONGITUDINAL_ARCHIVE_ROW	ACQUIRED_RANKING_ONLY	1 public acquisition attempt(s) retained in Round 3L.	false
archive:best_of_panama:2017	best_of_panama	Best of Panama	2017	1996	THIRTY_YEAR_PROJECT_SCOPE_START	true	LONGITUDINAL_ARCHIVE_ROW	ACQUIRED_RANKING_ONLY	15 public acquisition attempt(s) retained in Round 3L.	false
archive:best_of_panama:2018	best_of_panama	Best of Panama	2018	1996	THIRTY_YEAR_PROJECT_SCOPE_START	true	LONGITUDINAL_ARCHIVE_ROW	ACQUIRED_RANKING_ONLY	1 public acquisition attempt(s) retained in Round 3L.	false
archive:best_of_panama:2019	best_of_panama	Best of Panama	2019	1996	THIRTY_YEAR_PROJECT_SCOPE_START	true	LONGITUDINAL_ARCHIVE_ROW	ACQUIRED_RANKING_ONLY	1 public acquisition attempt(s) retained in Round 3L.	false
archive:best_of_panama:2020	best_of_panama	Best of Panama	2020	1996	THIRTY_YEAR_PROJECT_SCOPE_START	true	LONGITUDINAL_ARCHIVE_ROW	ACQUIRED_RANKING_ONLY	1 public acquisition attempt(s) retained in Round 3L.	false
archive:best_of_panama:2021	best_of_panama	Best of Panama	2021	1996	THIRTY_YEAR_PROJECT_SCOPE_START	true	LONGITUDINAL_ARCHIVE_ROW	ACQUIRED_RANKING_ONLY	1 public acquisition attempt(s) retained in Round 3L.	false
archive:best_of_panama:2022	best_of_panama	Best of Panama	2022	1996	THIRTY_YEAR_PROJECT_SCOPE_START	true	LONGITUDINAL_ARCHIVE_ROW	ACQUIRED_RANKING_ONLY	1 public acquisition attempt(s) retained in Round 3L.	false
archive:best_of_panama:2023	best_of_panama	Best of Panama	2023	1996	THIRTY_YEAR_PROJECT_SCOPE_START	true	LONGITUDINAL_ARCHIVE_ROW	ACQUIRED_RANKING_ONLY	2 public acquisition attempt(s) retained in Round 3L.	false
archive:best_of_panama:2024	best_of_panama	Best of Panama	2024	1996	THIRTY_YEAR_PROJECT_SCOPE_START	true	LONGITUDINAL_ARCHIVE_ROW	ACQUIRED_RANKING_ONLY	1 public acquisition attempt(s) retained in Round 3L.	false
archive:best_of_panama:2025	best_of_panama	Best of Panama	2025	1996	THIRTY_YEAR_PROJECT_SCOPE_START	true	LONGITUDINAL_ARCHIVE_ROW	NOT_FOUND	No acquired edition payload is present in the reconciled repository artifacts.	false
archive:best_of_panama:2026	best_of_panama	Best of Panama	2026	1996	THIRTY_YEAR_PROJECT_SCOPE_START	false	LONGITUDINAL_ARCHIVE_ROW	CURRENT_YEAR_INCOMPLETE	Round 4A treats 2026 as a separately labelled current-year supplement.	false
archive:coe:1999	coe	Cup of Excellence	1999	1999	EARLIEST_OFFICIAL_EDITION_IN_RECONCILED_CENSUS	true	LONGITUDINAL_ARCHIVE_ROW	ACQUIRED_METADATA_ONLY	2 public acquisition attempt(s) retained in Round 3L.	false
archive:coe:2000	coe	Cup of Excellence	2000	1999	EARLIEST_OFFICIAL_EDITION_IN_RECONCILED_CENSUS	true	LONGITUDINAL_ARCHIVE_ROW	ACQUIRED_METADATA_ONLY	2 public acquisition attempt(s) retained in Round 3L.	false
archive:coe:2001	coe	Cup of Excellence	2001	1999	EARLIEST_OFFICIAL_EDITION_IN_RECONCILED_CENSUS	true	LONGITUDINAL_ARCHIVE_ROW	ACQUIRED_METADATA_ONLY	4 public acquisition attempt(s) retained in Round 3L.	false
archive:coe:2002	coe	Cup of Excellence	2002	1999	EARLIEST_OFFICIAL_EDITION_IN_RECONCILED_CENSUS	true	LONGITUDINAL_ARCHIVE_ROW	ACQUIRED_METADATA_ONLY	6 public acquisition attempt(s) retained in Round 3L.	false
archive:coe:2003	coe	Cup of Excellence	2003	1999	EARLIEST_OFFICIAL_EDITION_IN_RECONCILED_CENSUS	true	LONGITUDINAL_ARCHIVE_ROW	ACQUIRED_METADATA_ONLY	6 public acquisition attempt(s) retained in Round 3L.	false
archive:coe:2004	coe	Cup of Excellence	2004	1999	EARLIEST_OFFICIAL_EDITION_IN_RECONCILED_CENSUS	true	LONGITUDINAL_ARCHIVE_ROW	ACQUIRED_METADATA_ONLY	10 public acquisition attempt(s) retained in Round 3L.	false
archive:coe:2005	coe	Cup of Excellence	2005	1999	EARLIEST_OFFICIAL_EDITION_IN_RECONCILED_CENSUS	true	LONGITUDINAL_ARCHIVE_ROW	ACQUIRED_METADATA_ONLY	14 public acquisition attempt(s) retained in Round 3L.	false
archive:coe:2006	coe	Cup of Excellence	2006	1999	EARLIEST_OFFICIAL_EDITION_IN_RECONCILED_CENSUS	true	LONGITUDINAL_ARCHIVE_ROW	ACQUIRED_METADATA_ONLY	14 public acquisition attempt(s) retained in Round 3L.	false
archive:coe:2007	coe	Cup of Excellence	2007	1999	EARLIEST_OFFICIAL_EDITION_IN_RECONCILED_CENSUS	true	LONGITUDINAL_ARCHIVE_ROW	ACQUIRED_METADATA_ONLY	14 public acquisition attempt(s) retained in Round 3L.	false
archive:coe:2008	coe	Cup of Excellence	2008	1999	EARLIEST_OFFICIAL_EDITION_IN_RECONCILED_CENSUS	true	LONGITUDINAL_ARCHIVE_ROW	ACQUIRED_DESCRIPTOR_BEARING	Round 3M governed descriptor assertion ledger contains bounded coffee-record observations.	false
archive:coe:2009	coe	Cup of Excellence	2009	1999	EARLIEST_OFFICIAL_EDITION_IN_RECONCILED_CENSUS	true	LONGITUDINAL_ARCHIVE_ROW	ACQUIRED_METADATA_ONLY	16 public acquisition attempt(s) retained in Round 3L.	false
archive:coe:2010	coe	Cup of Excellence	2010	1999	EARLIEST_OFFICIAL_EDITION_IN_RECONCILED_CENSUS	true	LONGITUDINAL_ARCHIVE_ROW	ACQUIRED_METADATA_ONLY	12 public acquisition attempt(s) retained in Round 3L.	false
archive:coe:2011	coe	Cup of Excellence	2011	1999	EARLIEST_OFFICIAL_EDITION_IN_RECONCILED_CENSUS	true	LONGITUDINAL_ARCHIVE_ROW	ACQUIRED_METADATA_ONLY	16 public acquisition attempt(s) retained in Round 3L.	false
archive:coe:2012	coe	Cup of Excellence	2012	1999	EARLIEST_OFFICIAL_EDITION_IN_RECONCILED_CENSUS	true	LONGITUDINAL_ARCHIVE_ROW	ACQUIRED_METADATA_ONLY	22 public acquisition attempt(s) retained in Round 3L.	false
archive:coe:2013	coe	Cup of Excellence	2013	1999	EARLIEST_OFFICIAL_EDITION_IN_RECONCILED_CENSUS	true	LONGITUDINAL_ARCHIVE_ROW	ACQUIRED_METADATA_ONLY	20 public acquisition attempt(s) retained in Round 3L.	false
